"Clube";"Pais"
"1 de Mayo";"Bolívia"
"12 de Octubre";"Paraguai"
"2 de Mayo";"Paraguai"
"3 de Febrero";"Paraguai"
"7 de Setembro";"Brasil"
"A. Italiano";"Chile"
"Abandoned Cesar Vallejo";"Peru"
"Abandoned Chico";"Colômbia"
"Abandoned Rubio Nu";"Paraguai"
"Abandoned Sp. Luqueno";"Paraguai"
"Abandoned Wanderers";"Uruguai"
"ABC";"Brasil"
"AC Colina";"Chile"
"AC Lala FC";"Venezuela"
"Academia";"Colômbia"
"Acassuso";"Argentina"
"Acreano";"Brasil"
"AD Cantolao";"Peru"
"AE Altos";"Brasil"
"Agropecuario";"Argentina"
"Aguia De Maraba";"Brasil"
"Aguia Negra";"Brasil"
"Aguilas";"Colômbia"
"AH Zapla";"Argentina"
"Aimore";"Brasil"
"Aldosivi";"Argentina"
"Alecrim";"Brasil"
"Alianza Atl.";"Peru"
"Alianza de Guano";"Equador"
"Alianza Huanuco";"Peru"
"Alianza Lima";"Peru"
"All Boys";"Argentina"
"Almagro";"Argentina"
"Almirante Brown";"Argentina"
"Alvarado";"Argentina"
"Always Ready";"Bolívia"
"Amadense";"Brasil"
"Ameliano";"Paraguai"
"America AM";"Brasil"
"America De Cali";"Colômbia"
"America de Quito";"Equador"
"America MG";"Brasil"
"America RN";"Brasil"
"Americano FC";"Brasil"
"Anapolina";"Brasil"
"Anapolis";"Brasil"
"Andino";"Argentina"
"Angostura";"Venezuela"
"Antofagasta";"Chile"
"Antoniana";"Argentina"
"Aparecidense";"Brasil"
"Aquidauanense";"Brasil"
"Aracruz";"Brasil"
"Aragua";"Venezuela"
"Araguaia";"Brasil"
"Araguaina";"Brasil"
"Arapongas";"Brasil"
"Argentino de Merlo";"Argentina"
"Argentinos Jrs";"Argentina"
"Arroceros de Calabozo";"Venezuela"
"Arsenal Sarandi";"Argentina"
"Arturo Fernandez Vial";"Chile"
"ASA";"Brasil"
"Assu RN";"Brasil"
"Atenas";"Uruguai"
"Athletico-PR";"Brasil"
"Atl. La Sabana";"Colômbia"
"Atl. Minero";"Peru"
"Atl. Nacional";"Colômbia"
"Atl. Rafaela";"Argentina"
"Atl. Roraima";"Brasil"
"Atl. Socopo";"Venezuela"
"Atl. Sorocaba";"Brasil"
"Atl. Tembetary";"Paraguai"
"Atl. Tucuman";"Argentina"
"Atl. Venezuela";"Venezuela"
"Atlas";"Argentina"
"Atletico-CE";"Brasil"
"Atletico-MG";"Brasil"
"Atletico Atlanta";"Argentina"
"Atletico F.C.";"Colômbia"
"Atletico GO";"Brasil"
"Atletico Guanare";"Venezuela"
"Atletico Juventud";"Paraguai"
"Atletico Parana";"Argentina"
"Atletico Policial";"Argentina"
"Atletico Universidad";"Peru"
"Atyra";"Paraguai"
"Aucas";"Equador"
"Audax";"Brasil"
"Aurora";"Bolívia"
"Auto Esporte";"Brasil"
"Avai";"Brasil"
"Avenida";"Brasil"
"Ayacucho";"Peru"
"Bahia";"Brasil"
"Bahia De Feira";"Brasil"
"Balmaceda";"Chile"
"Banfield";"Argentina"
"Bangu";"Brasil"
"Barbalha";"Brasil"
"Barcelona SC";"Equador"
"Bare";"Brasil"
"Barnechea";"Chile"
"Barra FC";"Brasil"
"Barracas Central";"Argentina"
"Barranquilla";"Colômbia"
"Barueri";"Brasil"
"Belgrano";"Argentina"
"Bella Vista";"Uruguai"
"Bermejo";"Bolívia"
"Betim";"Brasil"
"Binacional";"Peru"
"Blooming";"Bolívia"
"Boa";"Brasil"
"Boavista";"Brasil"
"Boca Juniors";"Argentina"
"Boca Juniors";"Colômbia"
"Boca Unidos";"Argentina"
"Bogota";"Colômbia"
"Bolivar";"Bolívia"
"Boston River";"Uruguai"
"Botafogo PB";"Brasil"
"Botafogo RJ";"Brasil"
"Bragantino";"Brasil"
"Brasil de Pelotas";"Brasil"
"Brasilia";"Brasil"
"Brasiliense";"Brasil"
"Brown Adrogue";"Argentina"
"Brown De Posadas";"Argentina"
"Brusque";"Brasil"
"Bucaramanga";"Colômbia"
"C.D.S. Naval";"Chile"
"CA Cerro";"Uruguai"
