"date","club_1","goals_1","par_1","club_2","goals_2","par_2","tournament"
"30.08.2019/2020","Defensa y Justicia",0,,"Banfield",0,,"Superliga"
"30.08.2019/2020","Estudiantes L.P.",0,,"Velez Sarsfield",1,,"Superliga"
"30.08.2019/2020","Lanus",1,,"Central Cordoba",0,,"Superliga"
"26.08.2019/2020","Huracan",0,,"Argentinos Jrs",0,,"Superliga"
"26.08.2019/2020","Aldosivi",3,,"Atl. Tucuman",0,,"Superliga"
"25.08.2019/2020","Banfield",0,,"Boca Juniors",1,,"Superliga"
"25.08.2019/2020","River Plate",0,,"Talleres Cordoba",1,,"Superliga"
"25.08.2019/2020","Central Cordoba",0,,"Racing Club",0,,"Superliga"
"25.08.2019/2020","Union de Santa Fe",1,,"Lanus",2,,"Superliga"
"25.08.2019/2020","Godoy Cruz",2,,"Estudiantes L.P.",1,,"Superliga"
"24.08.2019/2020","Independiente",2,,"Colon Santa FE",0,,"Superliga"
"24.08.2019/2020","Rosario Central",1,,"Patronato",1,,"Superliga"
"24.08.2019/2020","Velez Sarsfield",3,,"Newells Old Boys",1,,"Superliga"
"24.08.2019/2020","Gimnasia L.P.",0,,"Defensa y Justicia",1,,"Superliga"
"23.08.2019/2020","Arsenal Sarandi",0,,"San Lorenzo",2,,"Superliga"
"19.08.2019/2020","Estudiantes L.P.",3,,"Independiente",0,,"Superliga"
"19.08.2019/2020","Colon Santa FE",2,,"Gimnasia L.P.",1,,"Superliga"
"19.08.2019/2020","Atl. Tucuman",1,,"Godoy Cruz",0,,"Superliga"
"18.08.2019/2020","Boca Juniors",2,,"Aldosivi",0,,"Superliga"
"18.08.2019/2020","Lanus",3,,"Velez Sarsfield",1,,"Superliga"
"18.08.2019/2020","Defensa y Justicia",0,,"Arsenal Sarandi",3,,"Superliga"
"18.08.2019/2020","Patronato",2,,"Huracan",1,,"Superliga"
"17.08.2019/2020","Racing Club",1,,"River Plate",6,,"Superliga"
"17.08.2019/2020","San Lorenzo",2,,"Rosario Central",2,,"Superliga"
"17.08.2019/2020","Newells Old Boys",2,,"Union de Santa Fe",0,,"Superliga"
"16.08.2019/2020","Talleres Cordoba",1,,"Central Cordoba",1,,"Superliga"
"16.08.2019/2020","Argentinos Jrs",3,,"Banfield",2,,"Superliga"
