"date","club_1","goals_1","par_1","club_2","goals_2","par_2","tournament"
"30.08.2019","Union La Calera",0,,"Everton",0,,"Primera Division"
"25.08.2019","Huachipato",4,,"Antofagasta",3,,"Primera Division"
"25.08.2019","U. De Chile",1,,"U. Catolica",1,,"Primera Division"
"25.08.2019","Deportes Iquique",2,,"U. De Concepcion",2,,"Primera Division"
"24.08.2019","Curico Unido",2,,"A. Italiano",2,,"Primera Division"
"24.08.2019","Everton",0,,"Coquimbo",2,,"Primera Division"
"24.08.2019","Palestino",2,,"Colo Colo",2,,"Primera Division"
"24.08.2019","Cobresal",1,,"Union La Calera",0,,"Primera Division"
"23.08.2019","U. Espanola",0,,"O'Higgins",1,,"Primera Division"
"18.08.2019","A. Italiano",2,,"Palestino",3,,"Primera Division"
"18.08.2019","Antofagasta",2,,"Cobresal",0,,"Primera Division"
"18.08.2019","Union La Calera",0,,"U. De Chile",0,,"Primera Division"
"17.08.2019","U. De Concepcion",1,,"Huachipato",1,,"Primera Division"
"17.08.2019","U. Catolica",1,,"Everton",0,,"Primera Division"
"17.08.2019","Coquimbo",2,,"Curico Unido",1,,"Primera Division"
"17.08.2019","O'Higgins",4,,"Deportes Iquique",1,,"Primera Division"
"16.08.2019","Colo Colo",1,,"U. Espanola",0,,"Primera Division"
"11.08.2019","U. Catolica",1,,"Coquimbo",1,,"Primera Division"
"11.08.2019","O'Higgins",1,,"Colo Colo",0,,"Primera Division"
"11.08.2019","Palestino",1,,"Union La Calera",1,,"Primera Division"
"10.08.2019","A. Italiano",0,,"Huachipato",1,,"Primera Division"
"10.08.2019","Everton",1,,"U. Espanola",0,,"Primera Division"
"10.08.2019","U. De Chile",1,,"Antofagasta",0,,"Primera Division"
"10.08.2019","Cobresal",0,,"Deportes Iquique",1,,"Primera Division"
"09.08.2019","Curico Unido",4,,"U. De Concepcion",2,,"Primera Division"
"04.08.2019","Colo Colo",0,,"Curico Unido",1,,"Primera Division"
"04.08.2019","Antofagasta",1,,"Everton",1,,"Primera Division"
"04.08.2019","U. De Concepcion",0,,"U. Catolica",3,,"Primera Division"
"03.08.2019","U. De Chile",1,,"A. Italiano",1,,"Primera Division"
"03.08.2019","Huachipato",0,,"Palestino",2,,"Primera Division"
