"date","club_1","goals_1","par_1","club_2","goals_2","par_2","tournament"
"26.08.2019","Deportes Tolima",2,,"Jaguares de Cordoba",0,,"Liga Aguila"
"25.08.2019","America De Cali",1,,"Envigado",0,,"Liga Aguila"
"25.08.2019","Aguilas",1,,"Santa Fe",0,,"Liga Aguila"
"25.08.2019","Atl. Nacional",5,,"Ind. Medellin",2,,"Liga Aguila"
"25.08.2019","Petrolera",1,,"Huila",0,,"Liga Aguila"
"25.08.2019","Patriotas",0,,"Bucaramanga",1,,"Liga Aguila"
"24.08.2019","Millonarios",2,,"Dep. Cali",1,,"Liga Aguila"
"24.08.2019","Cucuta",2,,"La Equidad",1,,"Liga Aguila"
"24.08.2019","Junior",0,,"Once Caldas",1,,"Liga Aguila"
"24.08.2019","Dep. Pasto",2,,"U. Magdalena",0,,"Liga Aguila"
"22.08.2019","Santa Fe",1,,"America De Cali",2,,"Liga Aguila"
"22.08.2019","Ind. Medellin",1,,"Aguilas",2,,"Liga Aguila"
"22.08.2019","Jaguares de Cordoba",0,,"Petrolera",0,,"Liga Aguila"
"21.08.2019","Dep. Cali",0,,"Atl. Nacional",0,,"Liga Aguila"
"21.08.2019","Envigado",0,,"Junior",0,,"Liga Aguila"
"21.08.2019","Once Caldas",2,,"Patriotas",2,,"Liga Aguila"
"21.08.2019","Bucaramanga",1,,"Deportes Tolima",1,,"Liga Aguila"
"20.08.2019","Dep. Pasto",4,,"Huila",0,,"Liga Aguila"
"18.08.2019","Dep. Cali",1,,"Ind. Medellin",0,,"Liga Aguila"
"18.08.2019","Atl. Nacional",3,,"U. Magdalena",1,,"Liga Aguila"
"18.08.2019","Junior",1,,"Santa Fe",0,,"Liga Aguila"
"18.08.2019","Petrolera",1,,"Bucaramanga",0,,"Liga Aguila"
"17.08.2019","Deportes Tolima",0,,"Once Caldas",0,,"Liga Aguila"
"17.08.2019","Cucuta",1,,"Jaguares de Cordoba",1,,"Liga Aguila"
"17.08.2019","America De Cali",1,,"Aguilas",1,,"Liga Aguila"
"17.08.2019","Millonarios",3,,"La Equidad",2,,"Liga Aguila"
"16.08.2019","Patriotas",3,,"Envigado",0,,"Liga Aguila"
"11.08.2019","Bucaramanga",2,,"Cucuta",0,,"Liga Aguila"
