"date","club_1","goals_1","par_1","club_2","goals_2","par_2","tournament"
"29.08.2019","Cerro Porteno [Par]",1,,"River Plate [Arg]",1,,"Copa Libertadores"
"28.08.2019","Internacional [Bra]",1,,"Flamengo RJ [Bra]",1,,"Copa Libertadores"
"28.08.2019","Boca Juniors [Arg]",0,,"LDU Quito [Ecu]",0,,"Copa Libertadores"
"27.08.2019","Palmeiras [Bra]",1,,"Gremio [Bra]",2,,"Copa Libertadores"
"22.08.2019","River Plate [Arg]",2,,"Cerro Porteno [Par]",0,,"Copa Libertadores"
"21.08.2019","Flamengo RJ [Bra]",2,,"Internacional [Bra]",0,,"Copa Libertadores"
"21.08.2019","LDU Quito [Ecu]",0,,"Boca Juniors [Arg]",3,,"Copa Libertadores"
"20.08.2019","Gremio [Bra]",0,,"Palmeiras [Bra]",1,,"Copa Libertadores"
"01.08.2019","Libertad Asuncion [Par]",0,,"Gremio [Bra]",3,,"Copa Libertadores"
"31.07.2019","Boca Juniors [Arg]",2,,"Athletico-PR [Bra]",0,,"Copa Libertadores"
"31.07.2019","Flamengo RJ [Bra]",3,2,"Emelec [Ecu]",0,0,"Copa Libertadores"
"31.07.2019","Cerro Porteno [Par]",2,,"San Lorenzo [Arg]",1,,"Copa Libertadores"
"31.07.2019","Internacional [Bra]",2,,"Nacional [Uru]",0,,"Copa Libertadores"
"30.07.2019","Olimpia Asuncion [Par]",1,,"LDU Quito [Ecu]",1,,"Copa Libertadores"
"30.07.2019","Palmeiras [Bra]",4,,"Godoy Cruz [Arg]",0,,"Copa Libertadores"
"30.07.2019","Cruzeiro [Bra]",0,0,"River Plate [Arg]",1,0,"Copa Libertadores"
"25.07.2019","Gremio [Bra]",2,,"Libertad Asuncion [Par]",0,,"Copa Libertadores"
"24.07.2019","Athletico-PR [Bra]",0,,"Boca Juniors [Arg]",1,,"Copa Libertadores"
"24.07.2019","Emelec [Ecu]",2,,"Flamengo RJ [Bra]",0,,"Copa Libertadores"
"24.07.2019","Nacional [Uru]",0,,"Internacional [Bra]",1,,"Copa Libertadores"
"24.07.2019","San Lorenzo [Arg]",0,,"Cerro Porteno [Par]",0,,"Copa Libertadores"
"23.07.2019","Godoy Cruz [Arg]",2,,"Palmeiras [Bra]",2,,"Copa Libertadores"
"23.07.2019","LDU Quito [Ecu]",3,,"Olimpia Asuncion [Par]",1,,"Copa Libertadores"
"23.07.2019","River Plate [Arg]",0,,"Cruzeiro [Bra]",0,,"Copa Libertadores"
"09.05.2019","Boca Juniors [Arg]",2,,"Athletico-PR [Bra]",1,,"Copa Libertadores"
"09.05.2019","Wilstermann [Bol]",0,,"Deportes Tolima [Col]",2,,"Copa Libertadores"
"09.05.2019","Godoy Cruz [Arg]",1,,"U. De Concepcion [Chi]",0,,"Copa Libertadores"
"09.05.2019","Olimpia Asuncion [Par]",0,,"Sporting Cristal [Per]",1,,"Copa Libertadores"
"08.05.2019","Junior [Col]",0,,"FBC Melgar [Per]",1,,"Copa Libertadores"
"08.05.2019","LDU Quito [Ecu]",4,,"San Jose [Bol]",0,,"Copa Libertadores"
"08.05.2019","Palmeiras [Bra]",1,,"San Lorenzo [Arg]",0,,"Copa Libertadores"
"08.05.2019","Penarol [Uru]",0,,"Flamengo RJ [Bra]",0,,"Copa Libertadores"
"08.05.2019","Cruzeiro [Bra]",1,,"Emelec [Ecu]",2,,"Copa Libertadores"
"08.05.2019","Gremio [Bra]",2,,"U. Catolica [Chi]",0,,"Copa Libertadores"
"08.05.2019","Huracan [Arg]",3,,"Lara [Ven]",0,,"Copa Libertadores"
"08.05.2019","Rosario Central [Arg]",2,,"Libertad Asuncion [Par]",1,,"Copa Libertadores"
"07.05.2019","Alianza Lima [Per]",1,,"Palestino [Chi]",2,,"Copa Libertadores"
"07.05.2019","River Plate [Arg]",2,,"Internacional [Bra]",2,,"Copa Libertadores"
"07.05.2019","Nacional [Uru]",1,,"Cerro Porteno [Par]",1,,"Copa Libertadores"
"07.05.2019","Zamora [Ven]",1,,"Atletico-MG [Bra]",2,,"Copa Libertadores"
"25.04.2019","FBC Melgar [Per]",0,,"Palmeiras [Bra]",4,,"Copa Libertadores"
"25.04.2019","Junior [Col]",1,,"San Lorenzo [Arg]",0,,"Copa Libertadores"
"25.04.2019","Zamora [Ven]",2,,"Cerro Porteno [Par]",1,,"Copa Libertadores"
"24.04.2019","Alianza Lima [Per]",0,,"Internacional [Bra]",1,,"Copa Libertadores"
"24.04.2019","Deportes Tolima [Col]",2,,"Boca Juniors [Arg]",2,,"Copa Libertadores"
"24.04.2019","LDU Quito [Ecu]",2,,"Flamengo RJ [Bra]",1,,"Copa Libertadores"
"24.04.2019","San Jose [Bol]",3,,"Penarol [Uru]",1,,"Copa Libertadores"
"24.04.2019","Palestino [Chi]",0,,"River Plate [Arg]",2,,"Copa Libertadores"
"24.04.2019","Rosario Central [Arg]",1,,"U. Catolica [Chi]",1,,"Copa Libertadores"
"24.04.2019","Wilstermann [Bol]",3,,"Athletico-PR [Bra]",2,,"Copa Libertadores"
"23.04.2019","Atletico-MG [Bra]",0,,"Nacional [Uru]",1,,"Copa Libertadores"
"23.04.2019","Godoy Cruz [Arg]",2,,"Sporting Cristal [Per]",0,,"Copa Libertadores"
"23.04.2019","Huracan [Arg]",1,,"Emelec [Ecu]",2,,"Copa Libertadores"
"23.04.2019","Libertad Asuncion [Par]",0,,"Gremio [Bra]",2,,"Copa Libertadores"
"23.04.2019","U. De Concepcion [Chi]",3,,"Olimpia Asuncion [Par]",3,,"Copa Libertadores"
"23.04.2019","Lara [Ven]",0,,"Cruzeiro [Bra]",2,,"Copa Libertadores"
"11.04.2019","Emelec [Ecu]",2,,"Lara [Ven]",2,,"Copa Libertadores"
"11.04.2019","Flamengo RJ [Bra]",6,,"San Jose [Bol]",1,,"Copa Libertadores"
"11.04.2019","River Plate [Arg]",3,,"Alianza Lima [Per]",0,,"Copa Libertadores"
"10.04.2019","Boca Juniors [Arg]",4,,"Wilstermann [Bol]",0,,"Copa Libertadores"
"10.04.2019","Gremio [Bra]",3,,"Rosario Central [Arg]",1,,"Copa Libertadores"
"10.04.2019","Palmeiras [Bra]",3,,"Junior [Col]",0,,"Copa Libertadores"
"10.04.2019","U. Catolica [Chi]",2,,"Libertad Asuncion [Par]",3,,"Copa Libertadores"
"10.04.2019","Cerro Porteno [Par]",4,,"Atletico-MG [Bra]",1,,"Copa Libertadores"
"10.04.2019","Cruzeiro [Bra]",4,,"Huracan [Arg]",0,,"Copa Libertadores"
"10.04.2019","Nacional [Uru]",1,,"Zamora [Ven]",0,,"Copa Libertadores"
"10.04.2019","Sporting Cristal [Per]",2,,"U. De Concepcion [Chi]",0,,"Copa Libertadores"
"09.04.2019","Internacional [Bra]",3,,"Palestino [Chi]",2,,"Copa Libertadores"
"09.04.2019","Penarol [Uru]",1,,"LDU Quito [Ecu]",0,,"Copa Libertadores"
"09.04.2019","San Lorenzo [Arg]",2,,"FBC Melgar [Per]",0,,"Copa Libertadores"
"09.04.2019","Athletico-PR [Bra]",1,,"Deportes Tolima [Col]",0,,"Copa Libertadores"
"09.04.2019","Olimpia Asuncion [Par]",2,,"Godoy Cruz [Arg]",1,,"Copa Libertadores"
"04.04.2019","Sporting Cristal [Per]",0,,"Olimpia Asuncion [Par]",3,,"Copa Libertadores"
"04.04.2019","Libertad Asuncion [Par]",2,,"Rosario Central [Arg]",0,,"Copa Libertadores"
"04.04.2019","U. Catolica [Chi]",1,,"Gremio [Bra]",0,,"Copa Libertadores"
"03.04.2019","Deportes Tolima [Col]",2,,"Wilstermann [Bol]",2,,"Copa Libertadores"
"03.04.2019","Emelec [Ecu]",0,,"Cruzeiro [Bra]",1,,"Copa Libertadores"
"03.04.2019","Flamengo RJ [Bra]",0,,"Penarol [Uru]",1,,"Copa Libertadores"
"03.04.2019","Lara [Ven]",2,,"Huracan [Arg]",1,,"Copa Libertadores"
"03.04.2019","Atletico-MG [Bra]",3,,"Zamora [Ven]",2,,"Copa Libertadores"
"03.04.2019","Internacional [Bra]",2,,"River Plate [Arg]",2,,"Copa Libertadores"
"03.04.2019","U. De Concepcion [Chi]",0,,"Godoy Cruz [Arg]",0,,"Copa Libertadores"
"02.04.2019","Athletico-PR [Bra]",3,,"Boca Juniors [Arg]",0,,"Copa Libertadores"
"02.04.2019","FBC Melgar [Per]",1,,"Junior [Col]",0,,"Copa Libertadores"
"02.04.2019","Palestino [Chi]",3,,"Alianza Lima [Per]",0,,"Copa Libertadores"
"02.04.2019","Cerro Porteno [Par]",1,,"Nacional [Uru]",0,,"Copa Libertadores"
"02.04.2019","San Jose [Bol]",3,,"LDU Quito [Ecu]",3,,"Copa Libertadores"
"02.04.2019","San Lorenzo [Arg]",1,,"Palmeiras [Bra]",0,,"Copa Libertadores"
"27.03.2019","Cruzeiro [Bra]",2,,"Lara [Ven]",0,,"Copa Libertadores"
"14.03.2019","Emelec [Ecu]",0,,"Huracan [Arg]",0,,"Copa Libertadores"
"14.03.2019","Athletico-PR [Bra]",4,,"Wilstermann [Bol]",0,,"Copa Libertadores"
"14.03.2019","Penarol [Uru]",4,,"San Jose [Bol]",0,,"Copa Libertadores"
"13.03.2019","Flamengo RJ [Bra]",3,,"LDU Quito [Ecu]",1,,"Copa Libertadores"
"13.03.2019","Internacional [Bra]",2,,"Alianza Lima [Per]",0,,"Copa Libertadores"
"13.03.2019","River Plate [Arg]",0,,"Palestino [Chi]",0,,"Copa Libertadores"
"13.03.2019","U. Catolica [Chi]",2,,"Rosario Central [Arg]",1,,"Copa Libertadores"
"13.03.2019","Cerro Porteno [Par]",2,,"Zamora [Ven]",1,,"Copa Libertadores"
"13.03.2019","San Lorenzo [Arg]",1,,"Junior [Col]",0,,"Copa Libertadores"
