,date,t1,g1,g2,t2,tourn
0,2002.02.02,San Lorenzo,2,2,Estudiantes L.P.,Primera Division
1,2002.02.02,Chacarita Juniors,0,1,Talleres Cordoba,Primera Division
2,2002.02.02,Lanus,1,0,Argentinos Jrs,Primera Division
3,2002.02.03,Colon Santa FE,0,0,Union de Santa Fe,Primera Division
4,2002.02.03,Gimnasia L.P.,2,2,Huracan,Primera Division
5,2002.02.04,Newells Old Boys,2,2,Boca Juniors,Primera Division
6,2002.02.05,Independiente,0,3,Banfield,Primera Division
7,2002.02.05,Belgrano,1,2,Nueva Chicago,Primera Division
8,2002.02.08,Argentinos Jrs,2,2,Racing Club,Primera Division
9,2002.02.09,Colon Santa FE,3,0,Estudiantes L.P.,Primera Division
10,2002.02.09,San Lorenzo,4,2,Nueva Chicago,Primera Division
11,2002.02.10,River Plate,3,1,Talleres Cordoba,Primera Division
12,2002.02.10,Newells Old Boys,0,3,Banfield,Primera Division
13,2002.02.10,Lanus,0,0,Rosario Central,Primera Division
14,2002.02.10,Gimnasia L.P.,3,2,Union de Santa Fe,Primera Division
15,2002.02.10,Chacarita Juniors,0,2,Huracan,Primera Division
16,2002.02.10,Independiente,0,3,Velez Sarsfield,Primera Division
17,2002.02.10,Belgrano,2,3,Boca Juniors,Primera Division
18,2002.02.15,Velez Sarsfield,2,2,Newells Old Boys,Primera Division
19,2002.02.16,Nueva Chicago,1,0,Colon Santa FE,Primera Division
20,2002.02.16,Banfield,0,1,Belgrano,Primera Division
21,2002.02.16,Union de Santa Fe,2,2,Chacarita Juniors,Primera Division
22,2002.02.17,Rosario Central,2,1,Argentinos Jrs,Primera Division
23,2002.02.17,Estudiantes L.P.,3,2,Gimnasia L.P.,Primera Division
24,2002.02.17,Boca Juniors,0,0,San Lorenzo,Primera Division
25,2002.02.17,Racing Club,1,2,Independiente,Primera Division
26,2002.02.17,Huracan,0,4,River Plate,Primera Division
27,2002.02.17,Talleres Cordoba,2,0,Lanus,Primera Division
28,2002.02.18,Belgrano,2,1,Velez Sarsfield,Primera Division
29,2002.02.19,San Lorenzo,2,0,Banfield,Primera Division
30,2002.02.19,Lanus,2,0,Huracan,Primera Division
31,2002.02.20,River Plate,6,0,Union de Santa Fe,Primera Division
32,2002.02.20,Chacarita Juniors,2,1,Estudiantes L.P.,Primera Division
33,2002.02.20,Colon Santa FE,1,3,Boca Juniors,Primera Division
34,2002.02.20,Newells Old Boys,3,2,Independiente,Primera Division
35,2002.02.20,Gimnasia L.P.,2,0,Nueva Chicago,Primera Division
36,2002.02.20,Argentinos Jrs,1,0,Talleres Cordoba,Primera Division
37,2002.02.21,Velez Sarsfield,2,1,San Lorenzo,Primera Division
38,2002.02.24,Union de Santa Fe,2,1,Lanus,Primera Division
