,date,t1,g1,g2,t2,tourn
0,2002.08.10,Sao Paulo,4,2,Paysandu PA,Série A
1,2002.08.10,Santos,2,1,Botafogo RJ,Série A
2,2002.08.10,Parana,2,1,Sao Caetano,Série A
3,2002.08.10,Goias,3,1,Portuguesa,Série A
4,2002.08.10,Vasco,2,0,Figueirense,Série A
5,2002.08.11,Palmeiras,1,1,Gremio,Série A
6,2002.08.11,Guarani,2,1,Athletico-PR,Série A
7,2002.08.11,Fluminense,5,1,Cruzeiro,Série A
8,2002.08.11,Atletico-MG,1,2,Corinthians,Série A
9,2002.08.11,Juventude,1,0,Ponte Preta,Série A
10,2002.08.11,Coritiba,1,0,Vitoria,Série A
11,2002.08.11,Bahia,1,0,Gama,Série A
12,2002.08.11,Internacional,1,3,Flamengo RJ,Série A
13,2002.08.14,Cruzeiro,1,1,Palmeiras,Série A
14,2002.08.14,Gremio,3,2,Vasco,Série A
15,2002.08.14,Ponte Preta,2,0,Coritiba,Série A
16,2002.08.14,Sao Caetano,2,0,Fluminense,Série A
17,2002.08.14,Vitoria,4,1,Goias,Série A
18,2002.08.14,Corinthians,3,2,Internacional,Série A
19,2002.08.14,Botafogo RJ,1,1,Atletico-MG,Série A
20,2002.08.14,Athletico-PR,4,0,Bahia,Série A
21,2002.08.14,Figueirense,0,0,Guarani,Série A
22,2002.08.15,Gama,0,1,Sao Paulo,Série A
23,2002.08.15,Flamengo RJ,0,0,Juventude,Série A
24,2002.08.15,Portuguesa,1,0,Parana,Série A
25,2002.08.17,Internacional,1,0,Ponte Preta,Série A
26,2002.08.17,Fluminense,3,1,Gremio,Série A
27,2002.08.17,Athletico-PR,2,1,Vasco,Série A
28,2002.08.17,Sao Caetano,3,0,Corinthians,Série A
29,2002.08.17,Parana,2,3,Sao Paulo,Série A
30,2002.08.17,Guarani,1,4,Atletico-MG,Série A
31,2002.08.17,Gama,2,1,Vitoria,Série A
32,2002.08.17,Juventude,2,1,Santos,Série A
33,2002.08.18,Portuguesa,0,0,Figueirense,Série A
34,2002.08.18,Bahia,1,2,Coritiba,Série A
35,2002.08.18,Cruzeiro,0,0,Botafogo RJ,Série A
36,2002.08.18,Flamengo RJ,1,1,Goias,Série A
37,2002.08.21,Atletico-MG,1,1,Fluminense,Série A
38,2002.08.21,Botafogo RJ,2,2,Internacional,Série A
39,2002.08.21,Coritiba,2,1,Flamengo RJ,Série A
40,2002.08.21,Goias,1,1,Bahia,Série A
41,2002.08.21,Paysandu PA,1,2,Portuguesa,Série A
42,2002.08.21,Santos,3,0,Figueirense,Série A
43,2002.08.21,Sao Paulo,0,1,Juventude,Série A
44,2002.08.21,Vitoria,1,1,Athletico-PR,Série A
45,2002.08.22,Gremio,0,2,Guarani,Série A
46,2002.08.22,Ponte Preta,2,0,Cruzeiro,Série A
47,2002.08.22,Palmeiras,3,2,Sao Caetano,Série A
48,2002.08.22,Vasco,0,1,Gama,Série A
49,2002.08.24,Figueirense,0,3,Botafogo RJ,Série A
50,2002.08.24,Flamengo RJ,1,2,Paysandu PA,Série A
51,2002.08.24,Internacional,2,2,Sao Paulo,Série A
52,2002.08.25,Vitoria,2,1,Juventude,Série A
53,2002.08.25,Coritiba,1,2,Corinthians,Série A
54,2002.08.25,Cruzeiro,2,1,Bahia,Série A
55,2002.08.25,Fluminense,1,1,Santos,Série A
56,2002.08.25,Goias,2,4,Vasco,Série A
57,2002.08.25,Palmeiras,0,4,Atletico-MG,Série A
58,2002.08.25,Ponte Preta,1,1,Gremio,Série A
59,2002.08.25,Portuguesa,1,0,Gama,Série A
60,2002.08.29,Juventude,2,0,Fluminense,Série A
61,2002.08.29,Athletico-PR,1,0,Palmeiras,Série A
62,2002.08.29,Atletico-MG,2,1,Vitoria,Série A
63,2002.08.29,Bahia,1,2,Figueirense,Série A
64,2002.08.29,Corinthians,1,1,Cruzeiro,Série A
65,2002.08.29,Gama,2,1,Flamengo RJ,Série A
66,2002.08.29,Gremio,0,0,Portuguesa,Série A
67,2002.08.29,Guarani,1,1,Internacional,Série A
68,2002.08.29,Sao Paulo,2,0,Goias,Série A
69,2002.08.29,Santos,2,1,Parana,Série A
70,2002.08.31,Botafogo RJ,1,0,Gama,Série A
71,2002.08.31,Corinthians,0,3,Athletico-PR,Série A
72,2002.08.31,Coritiba,2,0,Fluminense,Série A
73,2002.08.31,Internacional,3,0,Santos,Série A
74,2002.08.31,Juventude,1,0,Vasco,Série A
75,2002.09.01,Ponte Preta,0,1,Sao Caetano,Série A
76,2002.09.01,Atletico-MG,0,0,Portuguesa,Série A
77,2002.09.01,Flamengo RJ,1,1,Cruzeiro,Série A
78,2002.09.01,Goias,1,2,Guarani,Série A
79,2002.09.01,Sao Paulo,2,0,Gremio,Série A
80,2002.09.01,Parana,5,1,Palmeiras,Série A
81,2002.09.01,Vitoria,5,1,Paysandu PA,Série A
82,2002.09.04,Cruzeiro,3,1,Sao Paulo,Série A
83,2002.09.04,Gama,0,0,Ponte Preta,Série A
84,2002.09.04,Palmeiras,2,2,Coritiba,Série A
85,2002.09.04,Paysandu PA,0,1,Corinthians,Série A
86,2002.09.04,Sao Caetano,2,1,Guarani,Série A
87,2002.09.04,Vasco,1,2,Atletico-MG,Série A
88,2002.09.04,Bahia,3,2,Parana,Série A
89,2002.09.04,Flamengo RJ,5,2,Fluminense,Série A
90,2002.09.04,Athletico-PR,2,0,Botafogo RJ,Série A
91,2002.09.05,Santos,3,0,Vitoria,Série A
92,2002.09.05,Portuguesa,0,2,Internacional,Série A
93,2002.09.06,Sao Caetano,3,0,Sao Paulo,Série A
94,2002.09.07,Vasco,1,0,Coritiba,Série A
95,2002.09.07,Palmeiras,2,2,Gama,Série A
96,2002.09.07,Goias,2,2,Botafogo RJ,Série A
97,2002.09.07,Atletico-MG,2,0,Ponte Preta,Série A
98,2002.09.08,Vitoria,0,0,Internacional,Série A
99,2002.09.08,Santos,2,2,Athletico-PR,Série A
100,2002.09.08,Parana,3,0,Flamengo RJ,Série A
101,2002.09.08,Gremio,4,0,Corinthians,Série A
102,2002.09.08,Fluminense,4,3,Figueirense,Série A
103,2002.09.08,Juventude,2,1,Bahia,Série A
104,2002.09.08,Guarani,2,0,Paysandu PA,Série A
105,2002.09.11,Bahia,1,1,Gremio,Série A
106,2002.09.11,Coritiba,4,2,Santos,Série A
107,2002.09.11,Figueirense,0,2,Vitoria,Série A
