,date,t1,g1,g2,t2,tourn
0,2002.02.15,A. Italiano,2,1,Deportes Temuco,Primera Division
1,2002.02.15,Cobreloa,1,3,Palestino,Primera Division
2,2002.02.15,S. Wanderers,4,1,U. Espanola,Primera Division
3,2002.02.15,San Felipe,0,1,Huachipato,Primera Division
4,2002.02.16,S. Morning,1,2,Cobresal,Primera Division
5,2002.02.16,Rangers,2,0,U. De Chile,Primera Division
6,2002.02.16,Colo Colo,4,1,Coquimbo,Primera Division
7,2002.02.17,D. Concepcion,1,2,U. Catolica,Primera Division
8,2002.02.22,Cobreloa,2,1,A. Italiano,Primera Division
9,2002.02.23,U. Espanola,1,1,S. Morning,Primera Division
10,2002.02.23,U. De Chile,2,0,San Felipe,Primera Division
11,2002.02.23,U. Catolica,3,1,Colo Colo,Primera Division
12,2002.02.23,Palestino,4,3,D. Concepcion,Primera Division
13,2002.02.23,Coquimbo,3,0,S. Wanderers,Primera Division
14,2002.02.23,Huachipato,2,3,Deportes Temuco,Primera Division
15,2002.02.23,Cobresal,3,1,Rangers,Primera Division
16,2002.03.01,San Felipe,4,1,Cobresal,Primera Division
17,2002.03.01,A. Italiano,2,1,Huachipato,Primera Division
18,2002.03.01,D. Concepcion,1,1,Cobreloa,Primera Division
19,2002.03.02,Rangers,2,0,U. Espanola,Primera Division
20,2002.03.02,S. Morning,0,1,Coquimbo,Primera Division
21,2002.03.02,S. Wanderers,1,1,U. Catolica,Primera Division
22,2002.03.02,Deportes Temuco,1,3,U. De Chile,Primera Division
23,2002.03.02,Colo Colo,1,1,Palestino,Primera Division
24,2002.03.09,Coquimbo,2,2,Rangers,Primera Division
25,2002.03.09,Cobreloa,0,2,Colo Colo,Primera Division
26,2002.03.09,U. Catolica,2,3,S. Morning,Primera Division
27,2002.03.09,D. Concepcion,0,1,A. Italiano,Primera Division
28,2002.03.10,U. Espanola,3,1,San Felipe,Primera Division
29,2002.03.10,U. De Chile,3,2,Huachipato,Primera Division
30,2002.03.10,Palestino,1,0,S. Wanderers,Primera Division
31,2002.03.10,Cobresal,2,4,Deportes Temuco,Primera Division
32,2002.03.16,San Felipe,0,1,Coquimbo,Primera Division
33,2002.03.16,S. Wanderers,0,3,Cobreloa,Primera Division
34,2002.03.16,Huachipato,3,1,Cobresal,Primera Division
35,2002.03.16,A. Italiano,2,1,U. De Chile,Primera Division
36,2002.03.17,Colo Colo,2,0,D. Concepcion,Primera Division
37,2002.03.17,Deportes Temuco,0,0,U. Espanola,Primera Division
38,2002.03.17,S. Morning,1,1,Palestino,Primera Division
39,2002.03.17,Rangers,3,1,U. Catolica,Primera Division
40,2002.03.22,U. Catolica,2,1,San Felipe,Primera Division
41,2002.03.22,Palestino,0,0,Rangers,Primera Division
42,2002.03.22,Coquimbo,3,0,Deportes Temuco,Primera Division
43,2002.03.22,U. Espanola,4,1,Huachipato,Primera Division
44,2002.03.23,D. Concepcion,0,3,S. Wanderers,Primera Division
45,2002.03.23,Colo Colo,3,0,A. Italiano,Primera Division
46,2002.03.23,Cobresal,3,2,U. De Chile,Primera Division
47,2002.03.23,Cobreloa,3,3,S. Morning,Primera Division
48,2002.03.29,U. De Chile,2,0,U. Espanola,Primera Division
49,2002.03.29,Rangers,3,1,Cobreloa,Primera Division
50,2002.03.30,A. Italiano,1,1,Cobresal,Primera Division
51,2002.03.30,Huachipato,3,1,Coquimbo,Primera Division
52,2002.03.30,San Felipe,2,2,Palestino,Primera Division
53,2002.03.30,S. Morning,2,1,D. Concepcion,Primera Division
54,2002.03.30,S. Wanderers,3,1,Colo Colo,Primera Division
55,2002.03.30,Deportes Temuco,3,3,U. Catolica,Primera Division
56,2002.04.05,U. Espanola,3,2,Cobresal,Primera Division
57,2002.04.05,U. Catolica,2,2,Huachipato,Primera Division
58,2002.04.05,Palestino,2,2,Deportes Temuco,Primera Division
59,2002.04.06,D. Concepcion,1,0,Rangers,Primera Division
60,2002.04.06,Coquimbo,0,2,U. De Chile,Primera Division
61,2002.04.06,Cobreloa,1,1,San Felipe,Primera Division
62,2002.04.06,S. Wanderers,2,1,A. Italiano,Primera Division
63,2002.04.07,Colo Colo,2,1,S. Morning,Primera Division
64,2002.04.12,San Felipe,3,1,D. Concepcion,Primera Division
65,2002.04.12,Cobresal,1,1,Coquimbo,Primera Division
66,2002.04.12,A. Italiano,1,0,U. Espanola,Primera Division
67,2002.04.13,Deportes Temuco,3,1,Cobreloa,Primera Division
68,2002.04.13,Rangers,2,0,Colo Colo,Primera Division
69,2002.04.13,S. Morning,0,1,S. Wanderers,Primera Division
70,2002.04.13,U. De Chile,1,1,U. Catolica,Primera Division
71,2002.04.13,Huachipato,2,2,Palestino,Primera Division
72,2002.04.19,Palestino,1,1,U. De Chile,Primera Division
73,2002.04.19,Cobreloa,2,0,Huachipato,Primera Division
74,2002.04.19,Colo Colo,3,1,San Felipe,Primera Division
75,2002.04.20,U. Catolica,7,0,Cobresal,Primera Division
76,2002.04.20,S. Wanderers,1,1,Rangers,Primera Division
77,2002.04.20,S. Morning,2,0,A. Italiano,Primera Division
78,2002.04.20,D. Concepcion,1,2,Deportes Temuco,Primera Division
79,2002.04.20,Coquimbo,1,0,U. Espanola,Primera Division
80,2002.04.26,U. De Chile,4,2,Cobreloa,Primera Division
81,2002.04.26,San Felipe,3,0,S. Wanderers,Primera Division
82,2002.04.26,Deportes Temuco,1,1,Colo Colo,Primera Division
83,2002.04.26,A. Italiano,2,1,Coquimbo,Primera Division
84,2002.04.27,U. Espanola,0,2,U. Catolica,Primera Division
85,2002.04.27,Rangers,2,1,S. Morning,Primera Division
86,2002.04.27,Huachipato,3,1,D. Concepcion,Primera Division
87,2002.04.27,Cobresal,2,3,Palestino,Primera Division
88,2002.05.03,S. Wanderers,3,2,Deportes Temuco,Primera Division
89,2002.05.03,S. Morning,0,1,San Felipe,Primera Division
90,2002.05.03,Rangers,0,0,A. Italiano,Primera Division
91,2002.05.03,Palestino,4,0,U. Espanola,Primera Division
92,2002.05.03,D. Concepcion,2,2,U. De Chile,Primera Division
93,2002.05.03,Colo Colo,1,1,Huachipato,Primera Division
94,2002.05.03,U. Catolica,5,0,Coquimbo,Primera Division
95,2002.05.04,Cobreloa,2,0,Cobresal,Primera Division
96,2002.05.11,A. Italiano,1,2,U. Catolica,Primera Division
97,2002.05.11,Cobresal,1,2,D. Concepcion,Primera Division
98,2002.05.11,Coquimbo,0,0,Palestino,Primera Division
99,2002.05.11,Huachipato,0,3,S. Wanderers,Primera Division
100,2002.05.11,U. Espanola,3,2,Cobreloa,Primera Division
101,2002.05.11,U. De Chile,0,3,Colo Colo,Primera Division
102,2002.05.11,Deportes Temuco,4,2,S. Morning,Primera Division
103,2002.05.11,San Felipe,2,0,Rangers,Primera Division
104,2002.05.18,San Felipe,2,2,A. Italiano,Primera Division
105,2002.05.18,S. Wanderers,3,3,U. De Chile,Primera Division
106,2002.05.18,S. Morning,5,2,Huachipato,Primera Division
107,2002.05.18,Rangers,2,2,Deportes Temuco,Primera Division
108,2002.05.18,Palestino,2,4,U. Catolica,Primera Division
109,2002.05.18,D. Concepcion,1,0,U. Espanola,Primera Division
110,2002.05.18,Colo Colo,2,0,Cobresal,Primera Division
111,2002.05.18,Cobreloa,4,0,Coquimbo,Primera Division
112,2002.05.25,A. Italiano,2,3,Palestino,Primera Division
113,2002.05.25,Cobresal,0,0,S. Wanderers,Primera Division
114,2002.05.25,Deportes Temuco,5,0,San Felipe,Primera Division
115,2002.05.25,Huachipato,1,1,Rangers,Primera Division
116,2002.05.25,U. Espanola,2,3,Colo Colo,Primera Division
117,2002.05.25,U. Catolica,3,3,Cobreloa,Primera Division
118,2002.05.25,U. De Chile,2,1,S. Morning,Primera Division
119,2002.05.25,Coquimbo,2,3,D. Concepcion,Primera Division
120,2002.06.18,Rangers,2,1,Colo Colo,Primera Division
121,2002.06.20,U. De Chile,3,3,U. Catolica,Primera Division
122,2002.06.22,Colo Colo,2,2,Rangers,Primera Division
123,2002.06.23,U. Catolica,2,1,U. De Chile,Primera Division
124,2002.06.30,Rangers,1,1,U. Catolica,Primera Division
125,2002.06.30,U. Catolica,4,0,Rangers,Primera Division
126,2002.08.03,Palestino,1,3,Cobreloa,Primera Division
127,2002.08.03,U. Espanola,2,0,S. Wanderers,Primera Division
128,2002.08.03,U. Catolica,2,1,D. Concepcion,Primera Division
129,2002.08.03,Cobresal,1,1,S. Morning,Primera Division
130,2002.08.03,Coquimbo,0,1,Colo Colo,Primera Division
131,2002.08.03,Deportes Temuco,1,2,A. Italiano,Primera Division
132,2002.08.03,Huachipato,3,0,San Felipe,Primera Division
133,2002.08.03,U. De Chile,4,0,Rangers,Primera Division
134,2002.08.10,San Felipe,1,1,U. De Chile,Primera Division
135,2002.08.10,S. Morning,1,1,U. Espanola,Primera Division
136,2002.08.10,Deportes Temuco,0,3,Huachipato,Primera Division
137,2002.08.10,D. Concepcion,1,1,Palestino,Primera Division
138,2002.08.10,A. Italiano,1,2,Cobreloa,Primera Division
139,2002.08.11,S. Wanderers,2,1,Coquimbo,Primera Division
140,2002.08.11,Colo Colo,1,1,U. Catolica,Primera Division
141,2002.08.11,Rangers,1,2,Cobresal,Primera Division
142,2002.08.17,U. Espanola,2,0,Rangers,Primera Division
143,2002.08.17,Coquimbo,2,1,S. Morning,Primera Division
144,2002.08.17,Cobresal,3,2,San Felipe,Primera Division
145,2002.08.18,Cobreloa,1,0,D. Concepcion,Primera Division
146,2002.08.18,Palestino,0,0,Colo Colo,Primera Division
147,2002.08.18,Huachipato,1,1,A. Italiano,Primera Division
148,2002.08.18,U. Catolica,2,2,S. Wanderers,Primera Division
149,2002.08.18,U. De Chile,1,2,Deportes Temuco,Primera Division
150,2002.08.24,Huachipato,1,2,U. De Chile,Primera Division
151,2002.08.24,S. Wanderers,3,1,Palestino,Primera Division
152,2002.08.24,San Felipe,2,1,U. Espanola,Primera Division
153,2002.08.25,S. Morning,1,2,U. Catolica,Primera Division
154,2002.08.25,Deportes Temuco,1,2,Cobresal,Primera Division
155,2002.08.25,A. Italiano,2,2,D. Concepcion,Primera Division
156,2002.08.25,Colo Colo,1,2,Cobreloa,Primera Division
157,2002.09.13,Cobresal,2,2,Huachipato,Primera Division
158,2002.09.13,Coquimbo,2,0,San Felipe,Primera Division
159,2002.09.13,Palestino,0,2,S. Morning,Primera Division
160,2002.09.13,Cobreloa,2,0,S. Wanderers,Primera Division
161,2002.09.13,U. De Chile,2,2,A. Italiano,Primera Division
162,2002.09.13,U. Espanola,2,1,Deportes Temuco,Primera Division
163,2002.09.13,U. Catolica,3,0,Rangers,Primera Division
164,2002.09.20,Deportes Temuco,1,1,Coquimbo,Primera Division
165,2002.09.20,Huachipato,1,3,U. Espanola,Primera Division
166,2002.09.20,Rangers,3,2,Palestino,Primera Division
167,2002.09.20,A. Italiano,1,2,Colo Colo,Primera Division
168,2002.09.20,S. Wanderers,2,2,D. Concepcion,Primera Division
169,2002.09.20,San Felipe,1,2,U. Catolica,Primera Division
170,2002.09.20,U. De Chile,1,1,Cobresal,Primera Division
171,2002.09.20,S. Morning,0,4,Cobreloa,Primera Division
172,2002.09.27,U. Espanola,0,1,U. De Chile,Primera Division
173,2002.09.27,U. Catolica,5,1,Deportes Temuco,Primera Division
174,2002.09.27,Palestino,0,2,San Felipe,Primera Division
175,2002.09.27,D. Concepcion,1,0,S. Morning,Primera Division
176,2002.09.27,Cobresal,1,0,A. Italiano,Primera Division
177,2002.09.27,Cobreloa,4,0,Rangers,Primera Division
178,2002.09.28,Coquimbo,1,0,Huachipato,Primera Division
179,2002.09.28,Colo Colo,0,2,S. Wanderers,Primera Division
180,2002.10.04,A. Italiano,1,1,S. Wanderers,Primera Division
181,2002.10.04,Deportes Temuco,1,1,Palestino,Primera Division
182,2002.10.04,San Felipe,3,1,Cobreloa,Primera Division
183,2002.10.04,S. Morning,1,5,Colo Colo,Primera Division
184,2002.10.04,Rangers,1,2,D. Concepcion,Primera Division
185,2002.10.05,U. De Chile,1,0,Coquimbo,Primera Division
186,2002.10.05,Huachipato,3,1,U. Catolica,Primera Division
187,2002.10.05,Cobresal,3,2,U. Espanola,Primera Division
188,2002.10.11,D. Concepcion,0,2,San Felipe,Primera Division
189,2002.10.12,U. Catolica,1,1,U. De Chile,Primera Division
190,2002.10.12,Cobreloa,7,1,Deportes Temuco,Primera Division
191,2002.10.12,S. Wanderers,2,0,S. Morning,Primera Division
192,2002.10.12,Palestino,1,1,Huachipato,Primera Division
193,2002.10.13,U. Espanola,2,0,A. Italiano,Primera Division
194,2002.10.13,Coquimbo,0,0,Cobresal,Primera Division
195,2002.10.13,Colo Colo,3,1,Rangers,Primera Division
196,2002.10.19,U. Espanola,3,0,Coquimbo,Primera Division
197,2002.10.19,Cobresal,1,3,U. Catolica,Primera Division
198,2002.10.19,Huachipato,1,1,Cobreloa,Primera Division
199,2002.10.20,U. De Chile,3,1,Palestino,Primera Division
200,2002.10.20,A. Italiano,2,1,S. Morning,Primera Division
