,date,t1,g1,g2,t2,tourn
0,2002.02.02,Pereira,0,0,America De Cali,Liga Postobon
1,2002.02.02,Atl. Nacional,4,1,Junior,Liga Postobon
2,2002.02.02,Bucaramanga,2,0,Millonarios,Liga Postobon
3,2002.02.02,U. Magdalena,2,1,Cartagena,Liga Postobon
4,2002.02.02,Santa Fe,2,0,Deportes Tolima,Liga Postobon
5,2002.02.02,Dep. Cali,2,3,Quindio,Liga Postobon
6,2002.02.02,Envigado,1,0,Ind. Medellin,Liga Postobon
7,2002.02.02,Cortulua,0,3,Once Caldas,Liga Postobon
8,2002.02.02,Huila,2,1,Dep. Pasto,Liga Postobon
9,2002.02.09,Quindio,2,0,Pereira,Liga Postobon
10,2002.02.09,America De Cali,1,1,Cortulua,Liga Postobon
11,2002.02.09,Millonarios,2,1,Huila,Liga Postobon
12,2002.02.09,Junior,0,1,Envigado,Liga Postobon
13,2002.02.09,Ind. Medellin,4,1,U. Magdalena,Liga Postobon
14,2002.02.09,Deportes Tolima,1,1,Bucaramanga,Liga Postobon
15,2002.02.09,Dep. Pasto,0,3,Santa Fe,Liga Postobon
16,2002.02.09,Cartagena,0,0,Atl. Nacional,Liga Postobon
17,2002.02.09,Once Caldas,1,1,Dep. Cali,Liga Postobon
18,2002.02.12,U. Magdalena,2,0,Envigado,Liga Postobon
19,2002.02.12,Santa Fe,2,2,Huila,Liga Postobon
20,2002.02.12,Quindio,3,3,America De Cali,Liga Postobon
21,2002.02.12,Pereira,1,1,Once Caldas,Liga Postobon
22,2002.02.12,Dep. Cali,0,1,Cortulua,Liga Postobon
23,2002.02.12,Cartagena,1,0,Junior,Liga Postobon
24,2002.02.12,Bucaramanga,0,0,Dep. Pasto,Liga Postobon
25,2002.02.12,Atl. Nacional,1,1,Ind. Medellin,Liga Postobon
26,2002.02.15,Cortulua,0,1,Pereira,Liga Postobon
27,2002.02.16,Dep. Pasto,1,3,Deportes Tolima,Liga Postobon
28,2002.02.16,Dep. Cali,2,1,America De Cali,Liga Postobon
29,2002.02.16,Envigado,2,0,Atl. Nacional,Liga Postobon
30,2002.02.16,Huila,2,0,Bucaramanga,Liga Postobon
31,2002.02.16,Ind. Medellin,2,1,Cartagena,Liga Postobon
32,2002.02.16,Once Caldas,1,2,Quindio,Liga Postobon
33,2002.02.16,Santa Fe,0,0,Millonarios,Liga Postobon
34,2002.02.16,U. Magdalena,2,1,Junior,Liga Postobon
35,2002.02.22,Quindio,2,2,Cortulua,Liga Postobon
36,2002.02.22,Pereira,2,1,Dep. Cali,Liga Postobon
37,2002.02.22,Millonarios,2,1,Dep. Pasto,Liga Postobon
38,2002.02.22,Junior,2,1,Ind. Medellin,Liga Postobon
39,2002.02.22,Deportes Tolima,0,0,Huila,Liga Postobon
40,2002.02.22,Cartagena,0,1,Envigado,Liga Postobon
41,2002.02.22,Bucaramanga,1,0,Santa Fe,Liga Postobon
42,2002.02.22,Atl. Nacional,1,0,U. Magdalena,Liga Postobon
43,2002.03.02,Huila,0,3,Dep. Cali,Liga Postobon
44,2002.03.02,Ind. Medellin,0,0,Cartagena,Liga Postobon
45,2002.03.02,Junior,2,2,U. Magdalena,Liga Postobon
46,2002.03.02,Envigado,0,1,Atl. Nacional,Liga Postobon
47,2002.03.02,Once Caldas,2,3,Bucaramanga,Liga Postobon
48,2002.03.02,America De Cali,2,1,Deportes Tolima,Liga Postobon
49,2002.03.02,Millonarios,5,0,Quindio,Liga Postobon
50,2002.03.02,Dep. Pasto,0,0,Pereira,Liga Postobon
51,2002.03.06,Deportes Tolima,0,0,Millonarios,Liga Postobon
52,2002.03.07,U. Magdalena,1,1,Ind. Medellin,Liga Postobon
53,2002.03.07,Quindio,0,0,Dep. Pasto,Liga Postobon
54,2002.03.07,Deportes Tolima,2,1,Envigado,Liga Postobon
55,2002.03.07,Dep. Cali,2,0,Millonarios,Liga Postobon
56,2002.03.07,Cartagena,4,0,Huila,Liga Postobon
57,2002.03.07,Bucaramanga,1,0,Pereira,Liga Postobon
58,2002.03.07,Atl. Nacional,1,1,Junior,Liga Postobon
59,2002.03.10,Santa Fe,1,2,America De Cali,Liga Postobon
60,2002.03.13,Dep. Pasto,5,3,Dep. Cali,Liga Postobon
61,2002.03.13,America De Cali,2,2,Once Caldas,Liga Postobon
62,2002.03.13,Cortulua,0,1,Bucaramanga,Liga Postobon
63,2002.03.13,Envigado,0,0,Santa Fe,Liga Postobon
64,2002.03.13,Huila,1,1,U. Magdalena,Liga Postobon
65,2002.03.13,Junior,2,1,Deportes Tolima,Liga Postobon
66,2002.03.13,Millonarios,0,0,Cartagena,Liga Postobon
67,2002.03.13,Pereira,3,0,Quindio,Liga Postobon
