,date,t1,g1,g2,t2,tourn
0,2002.01.31,Emelec,0,0,Dep. Cuenca,Serie A
1,2002.01.31,EL Nacional,0,0,Espoli,Serie A
2,2002.02.01,Olmedo,0,1,LDU Quito,Serie A
3,2002.02.02,Macara,0,0,Dep. Quito,Serie A
4,2002.02.02,Aucas,0,1,Barcelona SC,Serie A
5,2002.02.07,Dep. Cuenca,0,2,Aucas,Serie A
6,2002.02.08,LDU Quito,0,1,Macara,Serie A
7,2002.02.08,Barcelona SC,0,1,EL Nacional,Serie A
8,2002.02.09,Espoli,0,2,Olmedo,Serie A
9,2002.02.09,Dep. Quito,0,4,Emelec,Serie A
10,2002.02.15,Olmedo,0,0,Barcelona SC,Serie A
11,2002.02.15,Dep. Quito,0,1,LDU Quito,Serie A
12,2002.02.16,EL Nacional,0,0,Dep. Cuenca,Serie A
13,2002.02.16,Emelec,0,2,Aucas,Serie A
14,2002.02.16,Macara,0,2,Espoli,Serie A
15,2002.02.21,Dep. Cuenca,0,1,Olmedo,Serie A
16,2002.02.22,Aucas,0,0,EL Nacional,Serie A
17,2002.02.23,LDU Quito,0,0,Emelec,Serie A
18,2002.02.23,Espoli,0,0,Dep. Quito,Serie A
19,2002.02.23,Barcelona SC,0,1,Macara,Serie A
20,2002.03.01,Olmedo,0,1,Aucas,Serie A
21,2002.03.02,Macara,0,3,Dep. Cuenca,Serie A
22,2002.03.02,LDU Quito,0,0,Espoli,Serie A
23,2002.03.02,Emelec,0,1,EL Nacional,Serie A
24,2002.03.02,Dep. Quito,0,0,Barcelona SC,Serie A
25,2002.03.07,Dep. Cuenca,0,1,Dep. Quito,Serie A
26,2002.03.08,Barcelona SC,0,2,LDU Quito,Serie A
27,2002.03.08,EL Nacional,0,0,Olmedo,Serie A
28,2002.03.09,Aucas,0,1,Macara,Serie A
29,2002.03.09,Espoli,0,1,Emelec,Serie A
30,2002.03.15,Emelec,0,0,Olmedo,Serie A
31,2002.03.15,Dep. Quito,0,0,Aucas,Serie A
32,2002.03.15,Macara,0,0,EL Nacional,Serie A
33,2002.03.16,LDU Quito,0,0,Dep. Cuenca,Serie A
34,2002.03.16,Espoli,0,0,Barcelona SC,Serie A
35,2002.03.21,Dep. Cuenca,0,0,Espoli,Serie A
36,2002.03.22,EL Nacional,0,1,Dep. Quito,Serie A
37,2002.03.22,Barcelona SC,0,0,Emelec,Serie A
38,2002.03.22,Aucas,0,0,LDU Quito,Serie A
39,2002.03.23,Olmedo,0,0,Macara,Serie A
40,2002.03.30,LDU Quito,0,1,EL Nacional,Serie A
41,2002.03.30,Espoli,0,2,Aucas,Serie A
42,2002.03.30,Emelec,0,0,Macara,Serie A
43,2002.03.30,Dep. Quito,0,2,Olmedo,Serie A
44,2002.03.30,Dep. Cuenca,0,2,Barcelona SC,Serie A
45,2002.04.02,Macara,0,1,Emelec,Serie A
46,2002.04.02,Aucas,0,0,Espoli,Serie A
47,2002.04.02,Barcelona SC,0,0,Dep. Cuenca,Serie A
48,2002.04.02,Olmedo,0,2,Dep. Quito,Serie A
49,2002.04.02,EL Nacional,0,0,LDU Quito,Serie A
50,2002.04.05,Dep. Quito,0,1,EL Nacional,Serie A
51,2002.04.06,Macara,0,1,Olmedo,Serie A
52,2002.04.06,LDU Quito,0,4,Aucas,Serie A
53,2002.04.06,Espoli,0,1,Dep. Cuenca,Serie A
54,2002.04.06,Emelec,0,1,Barcelona SC,Serie A
55,2002.04.11,Dep. Cuenca,0,2,LDU Quito,Serie A
56,2002.04.12,EL Nacional,0,1,Macara,Serie A
57,2002.04.12,Olmedo,0,1,Emelec,Serie A
58,2002.04.12,Aucas,0,1,Dep. Quito,Serie A
59,2002.04.13,Barcelona SC,0,0,Espoli,Serie A
60,2002.04.19,Olmedo,0,1,EL Nacional,Serie A
61,2002.04.19,Dep. Quito,0,1,Dep. Cuenca,Serie A
62,2002.04.19,Macara,0,0,Aucas,Serie A
63,2002.04.20,Emelec,0,0,Espoli,Serie A
64,2002.04.20,LDU Quito,0,0,Barcelona SC,Serie A
65,2002.04.21,EL Nacional,0,2,Emelec,Serie A
66,2002.04.21,Aucas,0,0,Olmedo,Serie A
67,2002.04.23,Barcelona SC,0,0,Dep. Quito,Serie A
68,2002.04.23,Dep. Cuenca,0,2,Macara,Serie A
69,2002.04.23,Espoli,0,1,LDU Quito,Serie A
70,2002.04.26,Olmedo,0,3,Dep. Cuenca,Serie A
71,2002.04.27,Emelec,0,1,LDU Quito,Serie A
72,2002.04.27,Macara,0,1,Barcelona SC,Serie A
73,2002.04.27,EL Nacional,0,0,Aucas,Serie A
74,2002.04.27,Dep. Quito,0,2,Espoli,Serie A
75,2002.05.04,Aucas,0,0,Emelec,Serie A
76,2002.05.04,LDU Quito,0,1,Dep. Quito,Serie A
77,2002.05.04,Dep. Cuenca,0,0,EL Nacional,Serie A
78,2002.05.04,Espoli,0,2,Macara,Serie A
79,2002.05.04,Barcelona SC,0,2,Olmedo,Serie A
80,2002.05.10,EL Nacional,0,0,Barcelona SC,Serie A
81,2002.05.10,Olmedo,0,2,Espoli,Serie A
82,2002.05.10,Macara,0,1,LDU Quito,Serie A
83,2002.05.11,Emelec,0,2,Dep. Quito,Serie A
84,2002.05.11,Aucas,0,2,Dep. Cuenca,Serie A
85,2002.05.18,LDU Quito,0,0,Olmedo,Serie A
86,2002.05.18,Espoli,0,0,EL Nacional,Serie A
87,2002.05.18,Dep. Quito,0,1,Macara,Serie A
88,2002.05.18,Dep. Cuenca,0,0,Emelec,Serie A
89,2002.05.18,Barcelona SC,0,1,Aucas,Serie A
90,2002.06.28,Macara,0,3,EL Nacional,Serie A
91,2002.06.29,Emelec,0,2,Dep. Cuenca,Serie A
92,2002.06.29,Dep. Quito,0,2,Barcelona SC,Serie A
93,2002.06.29,Espoli,0,3,Aucas,Serie A
94,2002.06.29,Olmedo,0,1,LDU Quito,Serie A
95,2002.07.04,Dep. Cuenca,0,1,Dep. Quito,Serie A
96,2002.07.05,EL Nacional,0,0,Emelec,Serie A
97,2002.07.06,LDU Quito,0,0,Macara,Serie A
98,2002.07.06,Barcelona SC,0,2,Espoli,Serie A
99,2002.07.06,Aucas,0,2,Olmedo,Serie A
100,2002.07.12,Olmedo,0,0,Barcelona SC,Serie A
101,2002.07.13,Emelec,0,2,Dep. Quito,Serie A
102,2002.07.13,Macara,0,0,Aucas,Serie A
103,2002.07.13,Espoli,0,0,Dep. Cuenca,Serie A
104,2002.07.13,EL Nacional,0,0,LDU Quito,Serie A
105,2002.07.18,Dep. Cuenca,0,0,Olmedo,Serie A
106,2002.07.19,Aucas,0,2,EL Nacional,Serie A
107,2002.07.20,LDU Quito,0,2,Emelec,Serie A
108,2002.07.20,Dep. Quito,0,0,Espoli,Serie A
109,2002.07.20,Barcelona SC,0,0,Macara,Serie A
110,2002.07.26,Emelec,0,1,Espoli,Serie A
111,2002.07.27,EL Nacional,0,1,Barcelona SC,Serie A
112,2002.07.27,Macara,0,2,Dep. Cuenca,Serie A
113,2002.07.27,Olmedo,0,1,Dep. Quito,Serie A
114,2002.07.27,LDU Quito,0,1,Aucas,Serie A
115,2002.08.01,Dep. Cuenca,0,2,EL Nacional,Serie A
116,2002.08.02,Espoli,0,0,Olmedo,Serie A
117,2002.08.03,Dep. Quito,0,1,Macara,Serie A
118,2002.08.03,Barcelona SC,0,2,LDU Quito,Serie A
119,2002.08.03,Aucas,0,2,Emelec,Serie A
120,2002.08.06,Macara,0,1,Espoli,Serie A
121,2002.08.06,LDU Quito,0,1,Dep. Cuenca,Serie A
122,2002.08.06,Emelec,0,3,Olmedo,Serie A
123,2002.08.06,EL Nacional,0,3,Dep. Quito,Serie A
124,2002.08.06,Aucas,0,1,Barcelona SC,Serie A
125,2002.08.10,Barcelona SC,0,0,Emelec,Serie A
126,2002.08.10,Espoli,0,2,EL Nacional,Serie A
127,2002.08.10,Dep. Quito,0,1,LDU Quito,Serie A
128,2002.08.10,Dep. Cuenca,0,1,Aucas,Serie A
129,2002.08.10,Olmedo,0,1,Macara,Serie A
130,2002.08.15,Dep. Cuenca,0,0,Barcelona SC,Serie A
131,2002.08.16,LDU Quito,0,0,Espoli,Serie A
132,2002.08.17,Aucas,0,2,Dep. Quito,Serie A
133,2002.08.17,EL Nacional,0,1,Olmedo,Serie A
134,2002.08.17,Emelec,0,2,Macara,Serie A
135,2002.08.23,Espoli,0,6,LDU Quito,Serie A
136,2002.08.23,Dep. Quito,0,2,Aucas,Serie A
137,2002.08.24,Olmedo,0,3,EL Nacional,Serie A
138,2002.08.24,Macara,0,3,Emelec,Serie A
139,2002.08.24,Barcelona SC,0,0,Dep. Cuenca,Serie A
140,2002.08.30,Macara,0,0,Olmedo,Serie A
141,2002.08.30,LDU Quito,0,2,Dep. Quito,Serie A
142,2002.08.30,EL Nacional,0,0,Espoli,Serie A
143,2002.08.31,Aucas,0,1,Dep. Cuenca,Serie A
144,2002.08.31,Emelec,0,1,Barcelona SC,Serie A
145,2002.09.03,Espoli,0,2,Macara,Serie A
146,2002.09.03,Dep. Quito,0,0,EL Nacional,Serie A
147,2002.09.03,Dep. Cuenca,0,0,LDU Quito,Serie A
148,2002.09.03,Barcelona SC,0,0,Aucas,Serie A
149,2002.09.03,Olmedo,0,1,Emelec,Serie A
150,2002.09.07,Olmedo,0,2,Espoli,Serie A
151,2002.09.07,Macara,0,2,Dep. Quito,Serie A
152,2002.09.07,LDU Quito,0,3,Barcelona SC,Serie A
