,date,t1,id1,g1,g2,id2,t2,tourn
55525,2002.01.27,Trujillanos,930,0,1,926,Nacional Tachira,Primera Division
55524,2002.01.27,Portuguesa,928,3,5,925,Monagas,Primera Division
55523,2002.01.27,Caracas,906,1,1,915,Estudiantes Merida,Primera Division
55522,2002.01.27,Petare,927,2,0,911,Dep. Tachira,Primera Division
55526,2002.01.30,Petare,927,1,0,930,Trujillanos,Primera Division
55528,2002.01.30,Monagas,925,1,1,911,Dep. Tachira,Primera Division
55529,2002.01.30,Estudiantes Merida,915,3,0,923,Mineros,Primera Division
55527,2002.01.30,Nacional Tachira,926,1,0,906,Caracas,Primera Division
37005,2002.01.31,Emelec,510,0,0,507,Dep. Cuenca,Serie A
37006,2002.01.31,EL Nacional,509,0,0,511,Espoli,Serie A
37007,2002.02.01,Olmedo,522,0,1,518,LDU Quito,Serie A
51008,2002.02.01,Sayago,828,3,2,802,Bella Vista,Primera Division
51009,2002.02.01,River Plate,826,2,0,822,Progreso,Primera Division
51013,2002.02.01,Central Esp.,806,0,5,817,Nacional,Primera Division
51011,2002.02.01,Paysandu Bella Vista,818,0,2,811,Defensor Sp.,Primera Division
51012,2002.02.01,Maldonado,815,1,2,821,Plaza Colonia,Primera Division
51014,2002.02.01,CA Cerro,804,0,2,810,Danubio,Primera Division
51006,2002.02.01,Wanderers,834,1,0,832,Villa Espanola,Primera Division
51010,2002.02.01,Penarol,820,2,2,812,Fenix,Primera Division
51007,2002.02.01,Tacuarembo,831,2,1,813,Juventud,Primera Division
37009,2002.02.02,Aucas,502,0,1,503,Barcelona SC,Serie A
37008,2002.02.02,Macara,519,0,0,508,Dep. Quito,Serie A
29127,2002.02.02,Pereira,424,0,0,402,America De Cali,Liga Postobon
3479,2002.02.02,Chacarita Juniors,12,0,1,37,Talleres Cordoba,Primera Division
3480,2002.02.02,Lanus,24,1,0,4,Argentinos Jrs,Primera Division
29128,2002.02.02,Atl. Nacional,403,4,1,418,Junior,Liga Postobon
