,date,t1,g1,g2,t2,tourn
0,2002.07.13,Wanka,1,1,FBC Melgar,Primera Division
1,2002.07.13,Sporting Cristal,5,0,Cienciano,Primera Division
2,2002.07.13,Juan Aurich,1,2,U. de Deportes,Primera Division
3,2002.07.13,Estudiantes de Medicina,2,0,Alianza Atl.,Primera Division
4,2002.07.13,Coronel,0,2,Sport Boys,Primera Division
5,2002.07.13,Alianza Lima,3,1,Coopsol,Primera Division
6,2002.07.20,Coopsol,1,0,Juan Aurich,Primera Division
7,2002.07.20,U. de Deportes,1,1,Estudiantes de Medicina,Primera Division
8,2002.07.20,Sport Boys,2,2,Wanka,Primera Division
9,2002.07.20,FBC Melgar,1,1,Coronel,Primera Division
10,2002.07.20,Cienciano,2,1,Alianza Lima,Primera Division
11,2002.07.20,Alianza Atl.,0,3,Sporting Cristal,Primera Division
12,2002.07.27,Alianza Lima,3,1,FBC Melgar,Primera Division
13,2002.07.27,Coopsol,0,3,Sporting Cristal,Primera Division
14,2002.07.27,Coronel,1,2,Cienciano,Primera Division
15,2002.07.27,Alianza Atl.,1,1,Juan Aurich,Primera Division
16,2002.07.27,Sport Boys,4,0,U. de Deportes,Primera Division
17,2002.07.27,Estudiantes de Medicina,1,1,Wanka,Primera Division
18,2002.08.03,FBC Melgar,0,1,Alianza Atl.,Primera Division
19,2002.08.03,Cienciano,1,1,Coopsol,Primera Division
20,2002.08.03,Juan Aurich,0,1,Estudiantes de Medicina,Primera Division
21,2002.08.03,Wanka,1,0,Coronel,Primera Division
22,2002.08.03,U. de Deportes,1,2,Alianza Lima,Primera Division
23,2002.08.03,Sporting Cristal,2,0,Sport Boys,Primera Division
24,2002.08.10,Sport Boys,4,0,Juan Aurich,Primera Division
25,2002.08.10,Estudiantes de Medicina,1,1,Sporting Cristal,Primera Division
26,2002.08.10,Coronel,2,1,U. de Deportes,Primera Division
27,2002.08.10,Coopsol,1,1,FBC Melgar,Primera Division
28,2002.08.10,Alianza Lima,0,0,Wanka,Primera Division
29,2002.08.10,Alianza Atl.,4,0,Cienciano,Primera Division
30,2002.08.17,Sporting Cristal,5,1,Coronel,Primera Division
31,2002.08.17,Wanka,1,1,Alianza Atl.,Primera Division
32,2002.08.17,FBC Melgar,2,2,Sport Boys,Primera Division
33,2002.08.18,Cienciano,3,0,Estudiantes de Medicina,Primera Division
34,2002.08.18,U. de Deportes,2,0,Coopsol,Primera Division
35,2002.08.18,Juan Aurich,0,2,Alianza Lima,Primera Division
36,2002.08.24,Alianza Atl.,2,1,U. de Deportes,Primera Division
37,2002.08.25,Coronel,2,1,Juan Aurich,Primera Division
38,2002.08.25,Alianza Lima,0,0,Sporting Cristal,Primera Division
39,2002.08.25,Coopsol,0,1,Wanka,Primera Division
40,2002.08.25,Sport Boys,2,1,Cienciano,Primera Division
41,2002.08.25,Estudiantes de Medicina,3,0,FBC Melgar,Primera Division
42,2002.08.31,Sporting Cristal,2,0,FBC Melgar,Primera Division
43,2002.08.31,U. de Deportes,4,1,Wanka,Primera Division
