,date,t1,id1,g1,g2,id2,t2,tourn
0,2002.04.23,Wanderers,834,2,2,820,Penarol,Copa Libertadores
1,2002.04.23,Cobreloa,305,0,2,616,Olimpia Asuncion,Copa Libertadores
2,2002.04.23,EL Nacional,509,0,0,10,Boca Juniors,Copa Libertadores
3,2002.04.23,Nacional,817,1,0,402,America De Cali,Copa Libertadores
4,2002.04.23,River Plate,31,1,2,224,Gremio,Copa Libertadores
5,2002.04.23,U. Catolica,329,1,1,238,Sao Caetano,Copa Libertadores
6,2002.04.29,Penarol,820,2,2,834,Wanderers,Copa Libertadores
7,2002.04.30,Sao Caetano,238,1,1,329,U. Catolica,Copa Libertadores
8,2002.04.30,Boca Juniors,10,2,0,509,EL Nacional,Copa Libertadores
9,2002.05.01,Olimpia Asuncion,616,2,1,305,Cobreloa,Copa Libertadores
10,2002.05.01,Gremio,224,4,0,31,River Plate,Copa Libertadores
11,2002.05.01,America De Cali,402,0,0,817,Nacional,Copa Libertadores
12,2002.05.08,Boca Juniors,10,1,1,616,Olimpia Asuncion,Copa Libertadores
13,2002.05.08,Gremio,224,1,0,817,Nacional,Copa Libertadores
14,2002.05.09,Penarol,820,1,0,238,Sao Caetano,Copa Libertadores
15,2002.05.14,Sao Caetano,238,2,1,820,Penarol,Copa Libertadores
16,2002.05.15,Nacional,817,1,1,224,Gremio,Copa Libertadores
17,2002.05.16,Olimpia Asuncion,616,1,0,10,Boca Juniors,Copa Libertadores
18,2002.07.10,Olimpia Asuncion,616,3,2,224,Gremio,Copa Libertadores
19,2002.07.17,Gremio,224,1,0,616,Olimpia Asuncion,Copa Libertadores
20,2002.07.24,Olimpia Asuncion,616,0,1,238,Sao Caetano,Copa Libertadores
21,2002.08.01,Sao Caetano,238,1,2,616,Olimpia Asuncion,Copa Libertadores
22,2002.08.27,Dep. Tachira,911,2,0,925,Monagas,Copa Sudamericana
23,2002.08.28,Aucas,502,1,2,503,Barcelona SC,Copa Sudamericana
24,2002.09.02,Cerro Porteno,604,0,2,614,Libertad Asuncion,Copa Sudamericana
25,2002.09.02,Bolivar,106,4,2,118,Oriente Petrolero,Copa Sudamericana
26,2002.09.04,Racing Club,30,1,0,31,River Plate,Copa Sudamericana
27,2002.09.04,Alianza Lima,704,1,0,739,U. de Deportes,Copa Sudamericana
28,2002.09.05,Danubio,810,1,1,817,Nacional,Copa Sudamericana
29,2002.09.05,Monagas,925,3,0,911,Dep. Tachira,Copa Sudamericana
30,2002.09.09,Libertad Asuncion,614,1,0,604,Cerro Porteno,Copa Sudamericana
31,2002.09.09,Atl. Nacional,403,1,0,402,America De Cali,Copa Sudamericana
32,2002.09.11,Gimnasia L.P.,18,3,1,10,Boca Juniors,Copa Sudamericana
33,2002.09.11,U. de Deportes,739,0,1,704,Alianza Lima,Copa Sudamericana
34,2002.09.12,Oriente Petrolero,118,1,0,106,Bolivar,Copa Sudamericana
35,2002.09.12,Barcelona SC,503,1,0,502,Aucas,Copa Sudamericana
36,2002.09.17,Nacional,817,2,0,810,Danubio,Copa Sudamericana
37,2002.09.18,Barcelona SC,503,1,0,704,Alianza Lima,Copa Sudamericana
38,2002.09.18,Boca Juniors,10,0,0,18,Gimnasia L.P.,Copa Sudamericana
39,2002.09.19,Bolivar,106,2,0,614,Libertad Asuncion,Copa Sudamericana
40,2002.09.19,Monagas,925,0,3,33,San Lorenzo,Copa Sudamericana
41,2002.09.23,Libertad Asuncion,614,1,1,106,Bolivar,Copa Sudamericana
42,2002.09.23,S. Wanderers,325,3,2,305,Cobreloa,Copa Sudamericana
