,date,t1,g1,g2,t2,tourn
0,2002.02.01,Wanderers,1,0,Villa Espanola,Primera Division
1,2002.02.01,Tacuarembo,2,1,Juventud,Primera Division
2,2002.02.01,Sayago,3,2,Bella Vista,Primera Division
3,2002.02.01,River Plate,2,0,Progreso,Primera Division
4,2002.02.01,Penarol,2,2,Fenix,Primera Division
5,2002.02.01,Paysandu Bella Vista,0,2,Defensor Sp.,Primera Division
6,2002.02.01,Maldonado,1,2,Plaza Colonia,Primera Division
7,2002.02.01,Central Esp.,0,5,Nacional,Primera Division
8,2002.02.01,CA Cerro,0,2,Danubio,Primera Division
9,2002.02.07,Maldonado,0,1,Defensor Sp.,Primera Division
10,2002.02.08,Plaza Colonia,0,3,Nacional,Primera Division
11,2002.02.08,Paysandu Bella Vista,0,3,Central Esp.,Primera Division
12,2002.02.09,CA Cerro,1,2,Sayago,Primera Division
13,2002.02.09,Danubio,2,3,Bella Vista,Primera Division
14,2002.02.09,Tacuarembo,0,0,Progreso,Primera Division
15,2002.02.09,Juventud,1,5,River Plate,Primera Division
16,2002.02.09,Wanderers,1,3,Penarol,Primera Division
17,2002.02.09,Villa Espanola,1,1,Fenix,Primera Division
18,2002.02.14,Paysandu Bella Vista,3,0,Wanderers,Primera Division
19,2002.02.15,Penarol,2,1,Danubio,Primera Division
20,2002.02.16,CA Cerro,3,3,River Plate,Primera Division
21,2002.02.16,Defensor Sp.,1,1,Villa Espanola,Primera Division
22,2002.02.16,Juventud,1,1,Progreso,Primera Division
23,2002.02.16,Fenix,2,1,Sayago,Primera Division
24,2002.02.16,Plaza Colonia,1,2,Central Esp.,Primera Division
25,2002.02.16,Tacuarembo,1,1,Bella Vista,Primera Division
26,2002.02.16,Maldonado,1,3,Nacional,Primera Division
27,2002.02.21,Penarol,3,0,Villa Espanola,Primera Division
28,2002.02.22,Sayago,1,2,Defensor Sp.,Primera Division
29,2002.02.22,Paysandu Bella Vista,0,1,Danubio,Primera Division
30,2002.02.23,Bella Vista,1,1,Central Esp.,Primera Division
31,2002.02.23,Fenix,3,2,CA Cerro,Primera Division
32,2002.02.23,Juventud,2,1,Nacional,Primera Division
33,2002.02.23,River Plate,1,3,Wanderers,Primera Division
34,2002.02.23,Plaza Colonia,0,0,Tacuarembo,Primera Division
35,2002.02.23,Maldonado,4,1,Progreso,Primera Division
36,2002.02.25,Sayago,1,1,Penarol,Primera Division
37,2002.02.26,Danubio,1,0,River Plate,Primera Division
38,2002.02.26,Juventud,0,1,Fenix,Primera Division
39,2002.02.26,Maldonado,0,1,Central Esp.,Primera Division
40,2002.02.26,Paysandu Bella Vista,0,1,Plaza Colonia,Primera Division
41,2002.02.26,Nacional,4,1,Wanderers,Primera Division
42,2002.02.26,Tacuarembo,0,0,Defensor Sp.,Primera Division
43,2002.02.26,Villa Espanola,2,2,CA Cerro,Primera Division
44,2002.02.26,Progreso,2,2,Bella Vista,Primera Division
45,2002.03.01,CA Cerro,3,3,Penarol,Primera Division
46,2002.03.01,Wanderers,4,1,Central Esp.,Primera Division
47,2002.03.01,Paysandu Bella Vista,0,0,Maldonado,Primera Division
48,2002.03.01,Nacional,2,0,Defensor Sp.,Primera Division
49,2002.03.02,Juventud,2,1,Bella Vista,Primera Division
50,2002.03.02,Plaza Colonia,2,0,Villa Espanola,Primera Division
51,2002.03.02,Progreso,0,3,Danubio,Primera Division
52,2002.03.02,Tacuarembo,3,2,Fenix,Primera Division
53,2002.03.02,Sayago,1,1,River Plate,Primera Division
54,2002.03.08,Plaza Colonia,1,1,Wanderers,Primera Division
55,2002.03.08,Paysandu Bella Vista,0,2,Nacional,Primera Division
56,2002.03.08,Bella Vista,1,4,Penarol,Primera Division
57,2002.03.09,Tacuarembo,2,4,Maldonado,Primera Division
58,2002.03.10,Danubio,2,1,Sayago,Primera Division
59,2002.03.10,River Plate,3,1,Villa Espanola,Primera Division
60,2002.03.10,Juventud,0,1,Central Esp.,Primera Division
61,2002.03.10,Fenix,4,0,Progreso,Primera Division
62,2002.03.10,CA Cerro,0,5,Defensor Sp.,Primera Division
63,2002.03.14,Defensor Sp.,1,3,Danubio,Primera Division
64,2002.03.15,Penarol,1,1,River Plate,Primera Division
65,2002.03.16,Villa Espanola,4,0,Sayago,Primera Division
66,2002.03.16,Tacuarembo,1,3,Nacional,Primera Division
67,2002.03.16,Plaza Colonia,2,1,CA Cerro,Primera Division
68,2002.03.16,Maldonado,2,0,Wanderers,Primera Division
69,2002.03.16,Central Esp.,2,1,Progreso,Primera Division
70,2002.03.16,Bella Vista,0,1,Fenix,Primera Division
71,2002.03.19,Juventud,5,1,Paysandu Bella Vista,Primera Division
72,2002.03.21,Nacional,3,1,Villa Espanola,Primera Division
73,2002.03.22,Progreso,2,4,Penarol,Primera Division
74,2002.03.22,Plaza Colonia,0,1,Defensor Sp.,Primera Division
75,2002.03.22,Fenix,3,2,Danubio,Primera Division
76,2002.03.23,Central Esp.,2,1,CA Cerro,Primera Division
77,2002.03.23,Wanderers,1,2,Bella Vista,Primera Division
78,2002.03.23,Tacuarembo,2,0,Sayago,Primera Division
79,2002.03.23,Paysandu Bella Vista,4,2,River Plate,Primera Division
80,2002.03.23,Maldonado,1,0,Juventud,Primera Division
81,2002.03.28,Maldonado,2,2,Fenix,Primera Division
82,2002.03.29,Nacional,0,1,CA Cerro,Primera Division
83,2002.03.29,Wanderers,1,1,Sayago,Primera Division
84,2002.03.30,Tacuarembo,0,2,Danubio,Primera Division
85,2002.03.30,Plaza Colonia,2,0,Progreso,Primera Division
86,2002.03.30,Paysandu Bella Vista,0,2,Villa Espanola,Primera Division
87,2002.03.30,Juventud,1,8,Defensor Sp.,Primera Division
88,2002.03.30,Central Esp.,0,3,Penarol,Primera Division
89,2002.03.30,Bella Vista,0,2,River Plate,Primera Division
90,2002.04.04,Defensor Sp.,2,0,Fenix,Primera Division
91,2002.04.05,Tacuarembo,1,3,Penarol,Primera Division
92,2002.04.05,Danubio,0,0,Wanderers,Primera Division
93,2002.04.06,River Plate,2,3,Central Esp.,Primera Division
94,2002.04.06,Progreso,2,4,Nacional,Primera Division
95,2002.04.06,Paysandu Bella Vista,2,1,Sayago,Primera Division
96,2002.04.06,Maldonado,4,1,Villa Espanola,Primera Division
97,2002.04.06,Juventud,0,2,Plaza Colonia,Primera Division
98,2002.04.06,Bella Vista,0,1,CA Cerro,Primera Division
99,2002.04.11,Maldonado,2,4,Danubio,Primera Division
100,2002.04.12,Plaza Colonia,2,0,Penarol,Primera Division
101,2002.04.12,Sayago,1,3,Central Esp.,Primera Division
102,2002.04.13,Bella Vista,3,1,Nacional,Primera Division
103,2002.04.13,Defensor Sp.,3,1,Wanderers,Primera Division
104,2002.04.13,Juventud,0,1,Villa Espanola,Primera Division
105,2002.04.13,Paysandu Bella Vista,1,0,Progreso,Primera Division
106,2002.04.13,River Plate,1,5,Fenix,Primera Division
107,2002.04.13,Tacuarembo,0,0,CA Cerro,Primera Division
108,2002.04.19,Paysandu Bella Vista,1,2,Penarol,Primera Division
109,2002.04.19,Juventud,1,2,Wanderers,Primera Division
110,2002.04.19,Fenix,1,1,Nacional,Primera Division
111,2002.04.20,Danubio,2,2,Villa Espanola,Primera Division
112,2002.04.20,Tacuarembo,3,1,River Plate,Primera Division
113,2002.04.20,Progreso,1,1,CA Cerro,Primera Division
114,2002.04.20,Plaza Colonia,2,0,Sayago,Primera Division
115,2002.04.20,Maldonado,0,2,Bella Vista,Primera Division
116,2002.04.20,Defensor Sp.,2,2,Central Esp.,Primera Division
117,2002.04.25,Central Esp.,2,1,Danubio,Primera Division
118,2002.04.26,Wanderers,2,2,Progreso,Primera Division
119,2002.04.26,Penarol,2,1,Defensor Sp.,Primera Division
120,2002.04.27,Villa Espanola,3,2,Bella Vista,Primera Division
121,2002.04.27,Plaza Colonia,0,3,Fenix,Primera Division
122,2002.04.27,Paysandu Bella Vista,1,0,Tacuarembo,Primera Division
123,2002.04.27,Nacional,4,3,River Plate,Primera Division
124,2002.04.27,Maldonado,4,0,Sayago,Primera Division
125,2002.04.27,Juventud,1,1,CA Cerro,Primera Division
126,2002.05.02,Defensor Sp.,1,1,Bella Vista,Primera Division
127,2002.05.03,Juventud,2,5,Penarol,Primera Division
128,2002.05.04,Fenix,2,4,Wanderers,Primera Division
129,2002.05.04,Maldonado,4,0,River Plate,Primera Division
130,2002.05.04,Nacional,0,1,Sayago,Primera Division
131,2002.05.04,Paysandu Bella Vista,0,2,CA Cerro,Primera Division
132,2002.05.04,Tacuarembo,1,1,Central Esp.,Primera Division
133,2002.05.04,Plaza Colonia,5,2,Danubio,Primera Division
134,2002.05.04,Villa Espanola,4,2,Progreso,Primera Division
135,2002.05.09,Central Esp.,3,3,Fenix,Primera Division
136,2002.05.10,Tacuarembo,2,0,Villa Espanola,Primera Division
137,2002.05.10,Progreso,1,2,Defensor Sp.,Primera Division
138,2002.05.10,Paysandu Bella Vista,2,1,Bella Vista,Primera Division
139,2002.05.10,Maldonado,2,2,Penarol,Primera Division
140,2002.05.10,Juventud,2,2,Sayago,Primera Division
141,2002.05.10,CA Cerro,0,1,Wanderers,Primera Division
142,2002.05.11,Plaza Colonia,0,1,River Plate,Primera Division
143,2002.05.11,Danubio,6,3,Nacional,Primera Division
144,2002.05.16,Maldonado,0,1,CA Cerro,Primera Division
145,2002.05.18,Juventud,0,3,Danubio,Primera Division
146,2002.05.18,Paysandu Bella Vista,2,5,Fenix,Primera Division
147,2002.05.18,Plaza Colonia,3,1,Bella Vista,Primera Division
148,2002.05.18,River Plate,1,0,Defensor Sp.,Primera Division
149,2002.05.18,Nacional,1,1,Penarol,Primera Division
150,2002.05.18,Tacuarembo,0,1,Wanderers,Primera Division
151,2002.05.18,Villa Espanola,4,1,Central Esp.,Primera Division
152,2002.05.18,Sayago,3,2,Progreso,Primera Division
153,2002.07.11,Defensor Sp.,2,1,Danubio,Primera Division
154,2002.07.12,Maldonado,3,2,Penarol,Primera Division
155,2002.07.13,Villa Espanola,0,1,Wanderers,Primera Division
156,2002.07.13,Plaza Colonia,0,1,Fenix,Primera Division
157,2002.07.13,Central Esp.,1,3,Nacional,Primera Division
158,2002.07.19,Nacional,4,1,Danubio,Primera Division
159,2002.07.20,Fenix,4,2,Villa Espanola,Primera Division
160,2002.07.20,Penarol,3,2,Defensor Sp.,Primera Division
161,2002.07.20,Plaza Colonia,1,2,Maldonado,Primera Division
162,2002.07.20,Wanderers,2,1,Central Esp.,Primera Division
163,2002.07.25,Defensor Sp.,0,1,Wanderers,Primera Division
164,2002.07.26,Penarol,2,1,Fenix,Primera Division
165,2002.07.27,Nacional,2,0,Plaza Colonia,Primera Division
166,2002.07.27,Maldonado,2,1,Central Esp.,Primera Division
167,2002.07.27,Danubio,4,1,Villa Espanola,Primera Division
168,2002.07.30,Nacional,2,0,Fenix,Primera Division
169,2002.08.02,Villa Espanola,1,1,Nacional,Primera Division
170,2002.08.02,Central Esp.,1,1,Plaza Colonia,Primera Division
171,2002.08.03,Danubio,0,0,Maldonado,Primera Division
172,2002.08.03,Fenix,3,1,Defensor Sp.,Primera Division
173,2002.08.03,Wanderers,1,3,Penarol,Primera Division
174,2002.08.08,Wanderers,1,1,Danubio,Primera Division
175,2002.08.08,Villa Espanola,0,1,Maldonado,Primera Division
176,2002.08.08,Central Esp.,4,1,Defensor Sp.,Primera Division
177,2002.08.10,Plaza Colonia,1,3,Penarol,Primera Division
178,2002.08.17,Maldonado,0,7,Fenix,Primera Division
179,2002.08.18,Penarol,4,0,Villa Espanola,Primera Division
180,2002.08.18,Defensor Sp.,1,0,Plaza Colonia,Primera Division
181,2002.08.18,Danubio,1,0,Central Esp.,Primera Division
182,2002.08.21,Nacional,1,0,Wanderers,Primera Division
183,2002.08.24,Plaza Colonia,2,0,Danubio,Primera Division
184,2002.08.24,Penarol,5,1,Central Esp.,Primera Division
185,2002.08.24,Fenix,1,0,Wanderers,Primera Division
186,2002.08.25,Villa Espanola,1,2,Defensor Sp.,Primera Division
187,2002.08.25,Nacional,2,1,Maldonado,Primera Division
188,2002.08.31,Penarol,0,2,Nacional,Primera Division
189,2002.08.31,Defensor Sp.,4,1,Maldonado,Primera Division
190,2002.08.31,Central Esp.,3,2,Villa Espanola,Primera Division
191,2002.08.31,Fenix,1,3,Danubio,Primera Division
192,2002.09.01,Wanderers,2,2,Plaza Colonia,Primera Division
193,2002.09.07,Plaza Colonia,3,1,Villa Espanola,Primera Division
194,2002.09.07,Maldonado,0,0,Wanderers,Primera Division
195,2002.09.07,Defensor Sp.,2,3,Nacional,Primera Division
196,2002.09.07,Danubio,1,3,Penarol,Primera Division
197,2002.09.07,Central Esp.,1,4,Fenix,Primera Division
198,2002.09.22,Central Esp.,1,2,Penarol,Primera Division
199,2002.09.26,Nacional,2,2,Central Esp.,Primera Division
200,2002.09.28,Danubio,1,1,Defensor Sp.,Primera Division
201,2002.09.29,Wanderers,1,1,Villa Espanola,Primera Division
202,2002.09.29,Penarol,2,1,Maldonado,Primera Division
203,2002.09.29,Fenix,1,0,Plaza Colonia,Primera Division
