,date,t1,g1,g2,t2,tourn
0,2002.01.27,Portuguesa,3,5,Monagas,Primera Division
1,2002.01.27,Caracas,1,1,Estudiantes Merida,Primera Division
2,2002.01.27,Petare,2,0,Dep. Tachira,Primera Division
3,2002.01.27,Trujillanos,0,1,Nacional Tachira,Primera Division
4,2002.01.27,Mineros,0,2,Galicia,Primera Division
5,2002.01.30,Monagas,1,1,Dep. Tachira,Primera Division
6,2002.01.30,Estudiantes Merida,3,0,Mineros,Primera Division
7,2002.01.30,Galicia,4,2,Portuguesa,Primera Division
8,2002.01.30,Petare,1,0,Trujillanos,Primera Division
9,2002.01.30,Nacional Tachira,1,0,Caracas,Primera Division
10,2002.02.03,Trujillanos,1,0,Monagas,Primera Division
11,2002.02.03,Mineros,1,6,Nacional Tachira,Primera Division
12,2002.02.03,Estudiantes Merida,0,0,Galicia,Primera Division
13,2002.02.03,Dep. Tachira,2,2,Portuguesa,Primera Division
14,2002.02.03,Caracas,2,1,Petare,Primera Division
15,2002.02.10,Portuguesa,2,2,Trujillanos,Primera Division
16,2002.02.10,Petare,1,1,Mineros,Primera Division
17,2002.02.10,Nacional Tachira,1,1,Estudiantes Merida,Primera Division
18,2002.02.10,Galicia,1,1,Dep. Tachira,Primera Division
19,2002.02.10,Caracas,2,3,Monagas,Primera Division
20,2002.02.17,Estudiantes Merida,0,1,Petare,Primera Division
21,2002.02.17,Mineros,0,2,Monagas,Primera Division
22,2002.02.17,Caracas,9,2,Portuguesa,Primera Division
23,2002.02.17,Trujillanos,1,2,Dep. Tachira,Primera Division
24,2002.02.17,Nacional Tachira,4,0,Galicia,Primera Division
25,2002.02.24,Portuguesa,0,0,Mineros,Primera Division
26,2002.02.24,Petare,2,1,Nacional Tachira,Primera Division
27,2002.02.24,Monagas,2,1,Estudiantes Merida,Primera Division
28,2002.02.24,Galicia,0,4,Trujillanos,Primera Division
29,2002.02.24,Dep. Tachira,3,1,Caracas,Primera Division
30,2002.03.07,Nacional Tachira,1,0,Dep. Tachira,Primera Division
31,2002.03.10,Caracas,1,1,Trujillanos,Primera Division
32,2002.03.10,Estudiantes Merida,3,0,Portuguesa,Primera Division
33,2002.03.10,Galicia,1,4,Petare,Primera Division
34,2002.03.10,Nacional Tachira,1,0,Monagas,Primera Division
35,2002.03.10,Mineros,0,2,Dep. Tachira,Primera Division
36,2002.03.13,Estudiantes Merida,2,1,Trujillanos,Primera Division
37,2002.03.13,Petare,2,0,Portuguesa,Primera Division
38,2002.03.13,Mineros,2,1,Caracas,Primera Division
39,2002.03.13,Galicia,1,0,Monagas,Primera Division
40,2002.03.17,Galicia,0,1,Caracas,Primera Division
41,2002.03.17,Monagas,3,0,Petare,Primera Division
42,2002.03.17,Dep. Tachira,3,1,Estudiantes Merida,Primera Division
43,2002.03.17,Trujillanos,3,0,Mineros,Primera Division
44,2002.03.17,Portuguesa,3,3,Nacional Tachira,Primera Division
