date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
02.09.2019,Fluminense,0,,Avai,1,,Serie A
01.09.2019,Corinthians,1,,Atletico-MG,0,,Serie A
01.09.2019,Cruzeiro,1,,Vasco,0,,Serie A
01.09.2019,Flamengo RJ,3,,Palmeiras,0,,Serie A
01.09.2019,Fortaleza,2,,Goias,0,,Serie A
31.08.2019,Internacional,3,,Botafogo RJ,2,,Serie A
31.08.2019,Athletico-PR,1,,Ceara,0,,Serie A
31.08.2019,Chapecoense-SC,0,,Santos,1,,Serie A
31.08.2019,Bahia,1,,CSA,0,,Serie A
31.08.2019,Sao Paulo,0,,Gremio,0,,Serie A
26.08.2019,Botafogo RJ,0,,Chapecoense-SC,0,,Serie A
25.08.2019,Avai,1,,Corinthians,1,,Serie A
25.08.2019,Ceara,0,,Flamengo RJ,3,,Serie A
25.08.2019,CSA,1,,Cruzeiro,1,,Serie A
25.08.2019,Goias,2,,Internacional,1,,Serie A
25.08.2019,Santos,3,,Fortaleza,3,,Serie A
25.08.2019,Vasco,2,,Sao Paulo,0,,Serie A
24.08.2019,Gremio,2,,Athletico-PR,1,,Serie A
24.08.2019,Atletico-MG,0,,Bahia,1,,Serie A
21.08.2019,Athletico-PR,0,,Sao Paulo,1,,Serie A
18.08.2019,Chapecoense-SC,1,,Avai,0,,Serie A
18.08.2019,Bahia,1,,Goias,1,,Serie A
18.08.2019,Cruzeiro,2,,Santos,0,,Serie A
18.08.2019,Fluminense,0,,CSA,1,,Serie A
18.08.2019,Sao Paulo,1,,Ceara,0,,Serie A
17.08.2019,Gremio,1,,Palmeiras,1,,Serie A
17.08.2019,Athletico-PR,1,,Atletico-MG,0,,Serie A
17.08.2019,Vasco,1,,Flamengo RJ,4,,Serie A
17.08.2019,Corinthians,2,,Botafogo RJ,0,,Serie A
17.08.2019,Fortaleza,0,,Internacional,1,,Serie A
12.08.2019,CSA,0,,Fortaleza,2,,Serie A
11.08.2019,Goias,0,,Vasco,1,,Serie A
11.08.2019,Avai,2,,Cruzeiro,2,,Serie A
11.08.2019,Botafogo RJ,2,,Athletico-PR,1,,Serie A
11.08.2019,Palmeiras,2,,Bahia,2,,Serie A
11.08.2019,Internacional,0,,Corinthians,0,,Serie A
10.08.2019,Atletico-MG,2,,Fluminense,1,,Serie A
10.08.2019,Flamengo RJ,3,,Gremio,1,,Serie A
