date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
02.09.2019,Garcilaso,0,,Alianza Huanuco,1,,Liga 1
01.09.2019,Dep. Municipal,2,,Alianza Lima,2,,Liga 1
01.09.2019,Molinos El Pirata,0,,Carlos Mannucci,0,,Liga 1
31.08.2019,U. de Deportes,2,,FBC Melgar,1,,Liga 1
31.08.2019,AD Cantolao,1,,Sport Boys,2,,Liga 1
31.08.2019,Cajamarca,0,,Binacional,0,,Liga 1
31.08.2019,U. San Martin,1,,Union Comercio,2,,Liga 1
30.08.2019,Cesar Vallejo,2,,Sporting Cristal,3,,Liga 1
30.08.2019,Ayacucho,1,,Sport Huancayo,1,,Liga 1
26.08.2019,Sport Boys,1,,Cesar Vallejo,1,,Liga 1
25.08.2019,Carlos Mannucci,1,,U. de Deportes,0,,Liga 1
25.08.2019,Alianza Huanuco,2,,Cajamarca,1,,Liga 1
25.08.2019,Union Comercio,2,,Sporting Cristal,1,,Liga 1
25.08.2019,U. San Martin,2,,Molinos El Pirata,2,,Liga 1
24.08.2019,Alianza Lima,3,,AD Cantolao,2,,Liga 1
24.08.2019,Sport Huancayo,4,,Dep. Municipal,2,,Liga 1
24.08.2019,Binacional,2,,Ayacucho,1,,Liga 1
23.08.2019,FBC Melgar,2,,Garcilaso,1,,Liga 1
19.08.2019,Ayacucho,3,,Alianza Huanuco,2,,Liga 1
18.08.2019,Sporting Cristal,4,,Sport Boys,2,,Liga 1
18.08.2019,Dep. Municipal,1,,Binacional,1,,Liga 1
17.08.2019,Cesar Vallejo,3,,Alianza Lima,1,,Liga 1
17.08.2019,AD Cantolao,0,,Sport Huancayo,2,,Liga 1
17.08.2019,Cajamarca,0,,FBC Melgar,2,,Liga 1
17.08.2019,Molinos El Pirata,0,,Union Comercio,2,,Liga 1
16.08.2019,U. de Deportes,0,,U. San Martin,0,,Liga 1
16.08.2019,Garcilaso,1,,Carlos Mannucci,0,,Liga 1
22.07.2019,Sport Huancayo,2,,Cesar Vallejo,0,,Liga 1
21.07.2019,Molinos El Pirata,0,,U. de Deportes,1,,Liga 1
21.07.2019,Alianza Huanuco,2,,Dep. Municipal,1,,Liga 1
21.07.2019,Union Comercio,1,,Sport Boys,1,,Liga 1
21.07.2019,U. San Martin,2,,Garcilaso,1,,Liga 1
20.07.2019,FBC Melgar,3,,Ayacucho,0,,Liga 1
20.07.2019,Carlos Mannucci,2,,Cajamarca,1,,Liga 1
20.07.2019,Binacional,1,,AD Cantolao,1,,Liga 1
19.07.2019,Alianza Lima,2,,Sporting Cristal,1,,Liga 1
15.07.2019,Garcilaso,0,,Molinos El Pirata,1,,Liga 1
14.07.2019,Sport Boys,1,,Alianza Lima,2,,Liga 1
14.07.2019,Dep. Municipal,1,,FBC Melgar,0,,Liga 1
13.07.2019,U. de Deportes,2,,Union Comercio,1,,Liga 1
13.07.2019,AD Cantolao,2,,Alianza Huanuco,1,,Liga 1
13.07.2019,Cajamarca,0,,U. San Martin,2,,Liga 1
13.07.2019,Sporting Cristal,3,,Sport Huancayo,0,,Liga 1
12.07.2019,Cesar Vallejo,1,,Binacional,1,,Liga 1
12.07.2019,Ayacucho,1,,Carlos Mannucci,0,,Liga 1
11.06.2019,Cajamarca,4,,Molinos El Pirata,1,,Liga 1
10.06.2019,Ayacucho,5,,U. San Martin,0,,Liga 1
08.06.2019,AD Cantolao,1,,FBC Melgar,5,,Liga 1
08.06.2019,Sport Boys,0,,Sport Huancayo,1,,Liga 1
08.06.2019,Sporting Cristal,3,,Binacional,1,,Liga 1
08.06.2019,Dep. Municipal,1,,Carlos Mannucci,1,,Liga 1
07.06.2019,Cesar Vallejo,1,,Alianza Huanuco,0,,Liga 1
07.06.2019,Garcilaso,0,,U. de Deportes,0,,Liga 1
07.06.2019,Alianza Lima,1,,Union Comercio,1,,Liga 1
02.06.2019,U. de Deportes,2,,Cajamarca,1,,Liga 1
02.06.2019,Alianza Huanuco,1,,Sporting Cristal,1,,Liga 1
02.06.2019,U. San Martin,0,,Dep. Municipal,0,,Liga 1
02.06.2019,Union Comercio,0,,Garcilaso,1,,Liga 1
01.06.2019,FBC Melgar,1,,Cesar Vallejo,2,,Liga 1
01.06.2019,Carlos Mannucci,1,,AD Cantolao,2,,Liga 1
01.06.2019,Binacional,2,,Sport Boys,0,,Liga 1
01.06.2019,Molinos El Pirata,3,,Ayacucho,1,,Liga 1
31.05.2019,Sport Huancayo,0,,Alianza Lima,3,,Liga 1
27.05.2019,Sport Huancayo,3,,Union Comercio,1,,Liga 1
26.05.2019,Alianza Lima,2,,Binacional,1,,Liga 1
26.05.2019,Dep. Municipal,5,,Molinos El Pirata,0,,Liga 1
25.05.2019,Sport Boys,1,,Alianza Huanuco,2,,Liga 1
25.05.2019,AD Cantolao,3,,U. San Martin,1,,Liga 1
25.05.2019,Ayacucho,2,,U. de Deportes,0,,Liga 1
25.05.2019,Sporting Cristal,2,,FBC Melgar,3,,Liga 1
24.05.2019,Cesar Vallejo,1,,Carlos Mannucci,0,,Liga 1
24.05.2019,Cajamarca,3,,Garcilaso,2,,Liga 1
19.05.2019,U. de Deportes,2,,Dep. Municipal,4,,Liga 1
19.05.2019,Alianza Huanuco,2,,Alianza Lima,1,,Liga 1
19.05.2019,U. San Martin,2,,Cesar Vallejo,1,,Liga 1
19.05.2019,Molinos El Pirata,0,,AD Cantolao,1,,Liga 1
18.05.2019,Carlos Mannucci,2,,Sporting Cristal,0,,Liga 1
18.05.2019,Garcilaso,3,,Ayacucho,0,,Liga 1
18.05.2019,Union Comercio,4,,Cajamarca,0,,Liga 1
17.05.2019,FBC Melgar,1,,Sport Boys,1,,Liga 1
17.05.2019,Binacional,1,,Sport Huancayo,3,,Liga 1
13.05.2019,Sporting Cristal,4,,U. San Martin,0,,Liga 1
12.05.2019,Alianza Lima,3,,FBC Melgar,2,,Liga 1
12.05.2019,Dep. Municipal,1,,Garcilaso,1,,Liga 1
11.05.2019,Cesar Vallejo,2,,Molinos El Pirata,2,,Liga 1
11.05.2019,Sport Huancayo,2,,Alianza Huanuco,0,,Liga 1
11.05.2019,Binacional,3,,Union Comercio,1,,Liga 1
11.05.2019,Sport Boys,3,,Carlos Mannucci,2,,Liga 1
10.05.2019,AD Cantolao,1,,U. de Deportes,0,,Liga 1
10.05.2019,Ayacucho,0,,Cajamarca,2,,Liga 1
06.05.2019,Garcilaso,2,,AD Cantolao,2,,Liga 1
05.05.2019,U. de Deportes,0,,Cesar Vallejo,4,,Liga 1
05.05.2019,Alianza Huanuco,2,,Binacional,3,,Liga 1
05.05.2019,Molinos El Pirata,0,,Sporting Cristal,0,,Liga 1
05.05.2019,U. San Martin,1,,Sport Boys,1,,Liga 1
04.05.2019,FBC Melgar,2,,Sport Huancayo,2,,Liga 1
04.05.2019,Cajamarca,2,,Dep. Municipal,2,,Liga 1
04.05.2019,Union Comercio,0,,Ayacucho,1,,Liga 1
03.05.2019,Carlos Mannucci,2,,Alianza Lima,2,,Liga 1
01.05.2019,U. de Deportes,1,,Sport Huancayo,1,,Liga 1
28.04.2019,Alianza Lima,1,,U. San Martin,0,,Liga 1
28.04.2019,Alianza Huanuco,2,,Union Comercio,2,,Liga 1
28.04.2019,Binacional,3,,FBC Melgar,1,,Liga 1
28.04.2019,Dep. Municipal,2,,Ayacucho,1,,Liga 1
27.04.2019,Sporting Cristal,1,,U. de Deportes,1,,Liga 1
27.04.2019,Cesar Vallejo,1,,Garcilaso,0,,Liga 1
27.04.2019,Sport Huancayo,2,,Carlos Mannucci,1,,Liga 1
26.04.2019,Sport Boys,2,,Molinos El Pirata,1,,Liga 1
26.04.2019,AD Cantolao,0,,Cajamarca,0,,Liga 1
23.04.2019,Cajamarca,4,,Cesar Vallejo,1,,Liga 1
21.04.2019,U. de Deportes,4,,Sport Boys,0,,Liga 1
21.04.2019,Dep. Municipal,1,,Union Comercio,0,,Liga 1
21.04.2019,U. San Martin,2,,Sport Huancayo,1,,Liga 1
20.04.2019,FBC Melgar,2,,Alianza Huanuco,0,,Liga 1
20.04.2019,Carlos Mannucci,4,,Binacional,3,,Liga 1
20.04.2019,Ayacucho,0,,AD Cantolao,0,,Liga 1
20.04.2019,Molinos El Pirata,2,,Alianza Lima,2,,Liga 1
19.04.2019,Garcilaso,1,,Sporting Cristal,1,,Liga 1
15.04.2019,Alianza Lima,2,,U. de Deportes,3,,Liga 1
14.04.2019,Sporting Cristal,3,,Cajamarca,1,,Liga 1
14.04.2019,Alianza Huanuco,3,,Carlos Mannucci,0,,Liga 1
14.04.2019,Union Comercio,1,,FBC Melgar,1,,Liga 1
13.04.2019,Cesar Vallejo,3,,Ayacucho,1,,Liga 1
13.04.2019,Sport Huancayo,1,,Molinos El Pirata,0,,Liga 1
12.04.2019,Sport Boys,0,,Garcilaso,0,,Liga 1
12.04.2019,AD Cantolao,3,,Dep. Municipal,0,,Liga 1
12.04.2019,Binacional,6,,U. San Martin,0,,Liga 1
08.04.2019,Cajamarca,2,,Sport Boys,0,,Liga 1
07.04.2019,Garcilaso,2,,Alianza Lima,1,,Liga 1
07.04.2019,Molinos El Pirata,1,,Binacional,2,,Liga 1
07.04.2019,Dep. Municipal,1,,Cesar Vallejo,0,,Liga 1
06.04.2019,AD Cantolao,1,,Union Comercio,1,,Liga 1
06.04.2019,Ayacucho,2,,Sporting Cristal,0,,Liga 1
06.04.2019,U. San Martin,1,,Alianza Huanuco,1,,Liga 1
05.04.2019,Carlos Mannucci,0,,FBC Melgar,1,,Liga 1
31.03.2019,Cesar Vallejo,1,,AD Cantolao,0,,Liga 1
31.03.2019,Sporting Cristal,2,,Dep. Municipal,0,,Liga 1
31.03.2019,Alianza Huanuco,0,,Molinos El Pirata,0,,Liga 1
31.03.2019,Sport Boys,0,,Ayacucho,1,,Liga 1
30.03.2019,FBC Melgar,3,,U. San Martin,1,,Liga 1
30.03.2019,Sport Huancayo,0,,Garcilaso,1,,Liga 1
30.03.2019,Binacional,4,,U. de Deportes,2,,Liga 1
30.03.2019,Union Comercio,0,,Carlos Mannucci,2,,Liga 1
29.03.2019,Alianza Lima,2,,Cajamarca,2,,Liga 1
25.03.2019,Cajamarca,0,,Sport Huancayo,0,,Liga 1
24.03.2019,Cesar Vallejo,3,,Union Comercio,0,,Liga 1
24.03.2019,Dep. Municipal,3,,Sport Boys,1,,Liga 1
24.03.2019,U. San Martin,1,,Carlos Mannucci,0,,Liga 1
23.03.2019,U. de Deportes,1,,Alianza Huanuco,1,,Liga 1
23.03.2019,AD Cantolao,0,,Sporting Cristal,0,,Liga 1
23.03.2019,Ayacucho,2,,Alianza Lima,0,,Liga 1
23.03.2019,Molinos El Pirata,2,,FBC Melgar,0,,Liga 1
22.03.2019,Garcilaso,0,,Binacional,1,,Liga 1
20.03.2019,FBC Melgar,1,,Cajamarca,1,,Liga 1
17.03.2019,FBC Melgar,2,,U. de Deportes,1,,Liga 1
17.03.2019,Alianza Huanuco,2,,Garcilaso,1,,Liga 1
17.03.2019,Carlos Mannucci,3,,Molinos El Pirata,2,,Liga 1
17.03.2019,Sporting Cristal,4,,Cesar Vallejo,1,,Liga 1
16.03.2019,Alianza Lima,2,,Dep. Municipal,2,,Liga 1
16.03.2019,Sport Huancayo,2,,Ayacucho,2,,Liga 1
16.03.2019,Union Comercio,0,,U. San Martin,0,,Liga 1
15.03.2019,Sport Boys,0,,AD Cantolao,0,,Liga 1
15.03.2019,Binacional,4,,Cajamarca,1,,Liga 1
11.03.2019,Cajamarca,2,,Alianza Huanuco,1,,Liga 1
10.03.2019,U. de Deportes,1,,Carlos Mannucci,0,,Liga 1
10.03.2019,Dep. Municipal,2,,Sport Huancayo,2,,Liga 1
10.03.2019,Molinos El Pirata,0,,U. San Martin,0,,Liga 1
09.03.2019,AD Cantolao,1,,Alianza Lima,2,,Liga 1
09.03.2019,Garcilaso,1,,FBC Melgar,0,,Liga 1
09.03.2019,Sporting Cristal,1,,Union Comercio,0,,Liga 1
08.03.2019,Cesar Vallejo,1,,Sport Boys,0,,Liga 1
08.03.2019,Ayacucho,3,,Binacional,2,,Liga 1
04.03.2019,Sport Huancayo,0,,AD Cantolao,3,,Liga 1
04.03.2019,Union Comercio,2,,Molinos El Pirata,0,,Liga 1
03.03.2019,Alianza Lima,3,,Cesar Vallejo,1,,Liga 1
03.03.2019,Alianza Huanuco,1,,Ayacucho,0,,Liga 1
02.03.2019,Sport Boys,0,,Sporting Cristal,3,,Liga 1
02.03.2019,Carlos Mannucci,0,,Garcilaso,1,,Liga 1
02.03.2019,Binacional,3,,Dep. Municipal,0,,Liga 1
01.03.2019,U. San Martin,2,,U. de Deportes,3,,Liga 1
25.02.2019,Garcilaso,2,,U. San Martin,1,,Liga 1
24.02.2019,Sporting Cristal,1,,Alianza Lima,0,,Liga 1
24.02.2019,Dep. Municipal,0,,Alianza Huanuco,0,,Liga 1
23.02.2019,Sport Boys,0,,Union Comercio,1,,Liga 1
23.02.2019,AD Cantolao,0,,Binacional,4,,Liga 1
23.02.2019,Ayacucho,1,,FBC Melgar,1,,Liga 1
23.02.2019,Cesar Vallejo,2,,Sport Huancayo,2,,Liga 1
22.02.2019,U. de Deportes,3,,Molinos El Pirata,1,,Liga 1
22.02.2019,Cajamarca,0,,Carlos Mannucci,0,,Liga 1
18.02.2019,Alianza Huanuco,0,,AD Cantolao,0,,Liga 1
18.02.2019,Molinos El Pirata,2,,Garcilaso,1,,Liga 1
17.02.2019,FBC Melgar,0,,Dep. Municipal,3,,Liga 1
17.02.2019,Union Comercio,1,,U. de Deportes,1,,Liga 1
16.02.2019,Sport Huancayo,0,,Sporting Cristal,2,,Liga 1
16.02.2019,Carlos Mannucci,4,,Ayacucho,4,,Liga 1
16.02.2019,Binacional,1,,Cesar Vallejo,0,,Liga 1
16.02.2019,U. San Martin,1,,Cajamarca,1,,Liga 1
15.02.2019,Alianza Lima,3,,Sport Boys,0,,Liga 1
03.09.2019,Grau,2,1.0,Sporting Cristal,1,1.0,Copa Bicentenario
12.08.2019,Sport Boys,2,2.0,Sporting Cristal,3,2.0,Copa Bicentenario
11.08.2019,Los Caimanes,0,,U. de Deportes,2,,Copa Bicentenario
11.08.2019,Grau,3,2.0,Cajamarca,2,2.0,Copa Bicentenario
11.08.2019,Deportivo Coopsol,2,1.0,U. San Martin,1,1.0,Copa Bicentenario
10.08.2019,Sport Loreto,0,,Sport Huancayo,4,,Copa Bicentenario
10.08.2019,FBC Melgar,1,,Garcilaso,2,,Copa Bicentenario
10.08.2019,Union Comercio,1,,Dep. Municipal,2,,Copa Bicentenario
10.08.2019,AD Cantolao,4,3.0,Binacional,3,3.0,Copa Bicentenario
08.07.2019,Cienciano,5,,Santa Rosa,0,,Copa Bicentenario
07.07.2019,Alianza Atl.,1,,Grau,1,,Copa Bicentenario
07.07.2019,Juan Aurich,2,,Los Caimanes,3,,Copa Bicentenario
06.07.2019,U. de Deportes,2,,Carlos Mannucci,0,,Copa Bicentenario
06.07.2019,Alianza Huanuco,0,,Union Comercio,0,,Copa Bicentenario
06.07.2019,Sport Huancayo,3,,Santos FC,1,,Copa Bicentenario
06.07.2019,Huaral,0,,Deportivo Coopsol,0,,Copa Bicentenario
06.07.2019,Sporting Cristal,1,,Cesar Vallejo,1,,Copa Bicentenario
05.07.2019,FBC Melgar,4,,Sport Victoria,0,,Copa Bicentenario
05.07.2019,Dep. Municipal,2,,Ayacucho,1,,Copa Bicentenario
05.07.2019,Binacional,4,,Alianza Lima,1,,Copa Bicentenario
05.07.2019,Cajamarca,1,,Sport Boys,0,,Copa Bicentenario
05.07.2019,Garcilaso,3,,AD Cantolao,1,,Copa Bicentenario
05.07.2019,U. San Martin,0,,Molinos El Pirata,0,,Copa Bicentenario
01.07.2019,Carlos Mannucci,3,,Huaral,3,,Copa Bicentenario
01.07.2019,Ayacucho,1,,Sport Huancayo,2,,Copa Bicentenario
30.06.2019,Alianza Lima,1,,FBC Melgar,1,,Copa Bicentenario
30.06.2019,Deportivo Coopsol,3,,U. de Deportes,0,,Copa Bicentenario
30.06.2019,Santa Rosa,0,,Garcilaso,3,,Copa Bicentenario
30.06.2019,Santos FC,1,,Dep. Municipal,1,,Copa Bicentenario
30.06.2019,Grau,1,,Sporting Cristal,3,,Copa Bicentenario
30.06.2019,Los Caimanes,2,,U. San Martin,2,,Copa Bicentenario
30.06.2019,Union Comercio,4,,Sport Loreto,0,,Copa Bicentenario
29.06.2019,AD Cantolao,2,,Cienciano,0,,Copa Bicentenario
29.06.2019,Cesar Vallejo,3,,Alianza Atl.,1,,Copa Bicentenario
29.06.2019,Molinos El Pirata,1,,Juan Aurich,3,,Copa Bicentenario
29.06.2019,Sport Victoria,3,,Binacional,2,,Copa Bicentenario
28.06.2019,Sport Boys,0,,Comerciantes Unidos,0,,Copa Bicentenario
24.06.2019,Huaral,0,,U. de Deportes,0,,Copa Bicentenario
23.06.2019,Comerciantes Unidos,0,,Cajamarca,1,,Copa Bicentenario
23.06.2019,Santa Rosa,1,,AD Cantolao,2,,Copa Bicentenario
23.06.2019,Santos FC,2,,Ayacucho,2,,Copa Bicentenario
23.06.2019,Sport Victoria,0,,Alianza Lima,2,,Copa Bicentenario
23.06.2019,Alianza Atl.,0,,Sporting Cristal,2,,Copa Bicentenario
23.06.2019,Juan Aurich,0,,U. San Martin,2,,Copa Bicentenario
22.06.2019,FBC Melgar,0,,Binacional,1,,Copa Bicentenario
22.06.2019,Sport Loreto,2,,Alianza Huanuco,1,,Copa Bicentenario
22.06.2019,Deportivo Coopsol,1,,Carlos Mannucci,1,,Copa Bicentenario
22.06.2019,Grau,2,,Cesar Vallejo,0,,Copa Bicentenario
22.06.2019,Los Caimanes,2,,Molinos El Pirata,1,,Copa Bicentenario
21.06.2019,Sport Huancayo,2,,Dep. Municipal,0,,Copa Bicentenario
21.06.2019,Cienciano,1,,Garcilaso,2,,Copa Bicentenario
