date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
29.08.2019,Cerro Porteno,1,,River Plate,1,,Copa Libertadores
28.08.2019,Internacional,1,,Flamengo RJ,1,,Copa Libertadores
28.08.2019,Boca Juniors,0,,LDU Quito,0,,Copa Libertadores
27.08.2019,Palmeiras,1,,Gremio,2,,Copa Libertadores
22.08.2019,River Plate,2,,Cerro Porteno,0,,Copa Libertadores
21.08.2019,Flamengo RJ,2,,Internacional,0,,Copa Libertadores
21.08.2019,LDU Quito,0,,Boca Juniors,3,,Copa Libertadores
20.08.2019,Gremio,0,,Palmeiras,1,,Copa Libertadores
01.08.2019,Libertad Asuncion,0,,Gremio,3,,Copa Libertadores
31.07.2019,Boca Juniors,2,,Athletico-PR,0,,Copa Libertadores
31.07.2019,Flamengo RJ,3,2.0,Emelec,0,0.0,Copa Libertadores
31.07.2019,Cerro Porteno,2,,San Lorenzo,1,,Copa Libertadores
31.07.2019,Internacional,2,,Nacional,0,,Copa Libertadores
30.07.2019,Olimpia Asuncion,1,,LDU Quito,1,,Copa Libertadores
30.07.2019,Palmeiras,4,,Godoy Cruz,0,,Copa Libertadores
30.07.2019,Cruzeiro,0,0.0,River Plate,1,0.0,Copa Libertadores
25.07.2019,Gremio,2,,Libertad Asuncion,0,,Copa Libertadores
24.07.2019,Athletico-PR,0,,Boca Juniors,1,,Copa Libertadores
24.07.2019,Emelec,2,,Flamengo RJ,0,,Copa Libertadores
24.07.2019,Nacional,0,,Internacional,1,,Copa Libertadores
24.07.2019,San Lorenzo,0,,Cerro Porteno,0,,Copa Libertadores
23.07.2019,Godoy Cruz,2,,Palmeiras,2,,Copa Libertadores
23.07.2019,LDU Quito,3,,Olimpia Asuncion,1,,Copa Libertadores
23.07.2019,River Plate,0,,Cruzeiro,0,,Copa Libertadores
09.05.2019,Boca Juniors,2,,Athletico-PR,1,,Copa Libertadores
09.05.2019,Wilstermann,0,,Deportes Tolima,2,,Copa Libertadores
09.05.2019,Godoy Cruz,1,,U. De Concepcion,0,,Copa Libertadores
09.05.2019,Olimpia Asuncion,0,,Sporting Cristal,1,,Copa Libertadores
08.05.2019,Junior,0,,FBC Melgar,1,,Copa Libertadores
08.05.2019,LDU Quito,4,,San Jose,0,,Copa Libertadores
08.05.2019,Palmeiras,1,,San Lorenzo,0,,Copa Libertadores
08.05.2019,Penarol,0,,Flamengo RJ,0,,Copa Libertadores
08.05.2019,Cruzeiro,1,,Emelec,2,,Copa Libertadores
08.05.2019,Gremio,2,,U. Catolica,0,,Copa Libertadores
08.05.2019,Huracan,3,,Lara,0,,Copa Libertadores
08.05.2019,Rosario Central,2,,Libertad Asuncion,1,,Copa Libertadores
07.05.2019,Alianza Lima,1,,Palestino,2,,Copa Libertadores
07.05.2019,River Plate,2,,Internacional,2,,Copa Libertadores
07.05.2019,Nacional,1,,Cerro Porteno,1,,Copa Libertadores
07.05.2019,Zamora,1,,Atletico-MG,2,,Copa Libertadores
25.04.2019,FBC Melgar,0,,Palmeiras,4,,Copa Libertadores
25.04.2019,Junior,1,,San Lorenzo,0,,Copa Libertadores
25.04.2019,Zamora,2,,Cerro Porteno,1,,Copa Libertadores
24.04.2019,Alianza Lima,0,,Internacional,1,,Copa Libertadores
24.04.2019,Deportes Tolima,2,,Boca Juniors,2,,Copa Libertadores
24.04.2019,LDU Quito,2,,Flamengo RJ,1,,Copa Libertadores
24.04.2019,San Jose,3,,Penarol,1,,Copa Libertadores
24.04.2019,Palestino,0,,River Plate,2,,Copa Libertadores
24.04.2019,Rosario Central,1,,U. Catolica,1,,Copa Libertadores
24.04.2019,Wilstermann,3,,Athletico-PR,2,,Copa Libertadores
23.04.2019,Atletico-MG,0,,Nacional,1,,Copa Libertadores
23.04.2019,Godoy Cruz,2,,Sporting Cristal,0,,Copa Libertadores
23.04.2019,Huracan,1,,Emelec,2,,Copa Libertadores
23.04.2019,Libertad Asuncion,0,,Gremio,2,,Copa Libertadores
23.04.2019,U. De Concepcion,3,,Olimpia Asuncion,3,,Copa Libertadores
23.04.2019,Lara,0,,Cruzeiro,2,,Copa Libertadores
11.04.2019,Emelec,2,,Lara,2,,Copa Libertadores
11.04.2019,Flamengo RJ,6,,San Jose,1,,Copa Libertadores
11.04.2019,River Plate,3,,Alianza Lima,0,,Copa Libertadores
10.04.2019,Boca Juniors,4,,Wilstermann,0,,Copa Libertadores
