,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1572.01571704,2005.12.06
1,2,All Boys,Argentina,1572.01571704,2005.12.06
2,3,Almagro,Argentina,1504.84820984,2005.12.06
3,4,Argentinos Jrs,Argentina,1576.90957056,2005.12.06
4,5,Arsenal Sarandi,Argentina,1619.48683968,2005.12.06
5,6,Atl. Rafaela,Argentina,1564.80937297,2005.12.06
6,7,Atl. Tucuman,Argentina,1572.01571704,2005.12.06
7,8,Banfield,Argentina,1697.21908157,2005.12.06
8,9,Belgrano,Argentina,1508.72363031,2005.12.06
9,10,Boca Juniors,Argentina,1750.90437076,2005.12.06
10,11,Central Cordoba,Argentina,1572.01571704,2005.12.06
11,12,Chacarita Juniors,Argentina,1513.83886525,2005.12.06
12,13,Colon Santa FE,Argentina,1619.38026837,2005.12.06
13,14,Crucero del Norte,Argentina,1572.01571704,2005.12.06
14,15,Defensa y Justicia,Argentina,1572.01571704,2005.12.06
15,16,Estudiantes L.P.,Argentina,1624.7624813,2005.12.06
16,17,Gimnasia Jujuy,Argentina,1554.98597036,2005.12.06
17,18,Gimnasia L.P.,Argentina,1685.35062662,2005.12.06
18,19,Godoy Cruz,Argentina,1572.01571704,2005.12.06
19,20,Huracan,Argentina,1367.33091468,2005.12.06
20,21,Huracan Tres Arroyos,Argentina,1389.36413036,2005.12.06
21,22,Independiente,Argentina,1673.64632643,2005.12.06
22,23,Instituto,Argentina,1507.89484168,2005.12.06
23,24,Lanus,Argentina,1580.55339474,2005.12.06
24,25,Newells Old Boys,Argentina,1603.26295752,2005.12.06
25,26,Nueva Chicago,Argentina,1473.12461518,2005.12.06
26,27,Olimpo Bahia Blanca,Argentina,1564.59397794,2005.12.06
27,28,Patronato,Argentina,1572.01571704,2005.12.06
28,29,Quilmes,Argentina,1533.84419292,2005.12.06
29,30,Racing Club,Argentina,1629.87220002,2005.12.06
30,31,River Plate,Argentina,1680.46498272,2005.12.06
31,32,Rosario Central,Argentina,1589.96019764,2005.12.06
32,33,San Lorenzo,Argentina,1575.95590324,2005.12.06
33,34,San Martin S.J.,Argentina,1572.01571704,2005.12.06
34,35,San Martin T.,Argentina,1572.01571704,2005.12.06
35,36,Sarmiento Junin,Argentina,1572.01571704,2005.12.06
36,37,Talleres Cordoba,Argentina,1626.88895953,2005.12.06
37,38,Temperley,Argentina,1572.01571704,2005.12.06
38,39,Tigre,Argentina,1572.01571704,2005.12.06
39,40,Tiro Federal,Argentina,1533.49188749,2005.12.06
40,41,Union de Santa Fe,Argentina,1491.00028741,2005.12.06
41,42,Velez Sarsfield,Argentina,1709.98358998,2005.12.06
42,101,1 de Mayo,Bolivia,1364.98835602,2005.12.06
43,102,Always Ready,Bolivia,1424.92530412,2005.12.06
44,103,Aurora,Bolivia,1431.29989295,2005.12.06
45,104,Bermejo,Bolivia,1424.92530412,2005.12.06
46,105,Blooming,Bolivia,1540.24209689,2005.12.06
47,106,Bolivar,Bolivia,1702.13232622,2005.12.06
48,107,Central Union,Bolivia,1292.3887734,2005.12.06
49,108,Ciclon,Bolivia,1424.92530412,2005.12.06
50,109,Destroyers,Bolivia,1371.26738648,2005.12.06
51,110,Fancesa,Bolivia,1406.16867959,2005.12.06
52,111,Guabira,Bolivia,1320.23971093,2005.12.06
53,112,Iberoamericana,Bolivia,1186.3307265,2005.12.06
54,113,Independiente,Bolivia,1293.5407958,2005.12.06
55,114,Industrial Aviles,Bolivia,1424.92530412,2005.12.06
