date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
02.09.2019,Mushuc Runa,1,,Macara,1,,Liga Pro
01.09.2019,LDU Quito,2,,EL Nacional,0,,Liga Pro
01.09.2019,Emelec,2,,Guayaquil City,1,,Liga Pro
01.09.2019,Olmedo,2,,Delfin,2,,Liga Pro
31.08.2019,U. Catolica,0,,Ind. del Valle,1,,Liga Pro
31.08.2019,Fuerza A.,3,,Aucas,3,,Liga Pro
31.08.2019,America de Quito,2,,Tecnico U.,0,,Liga Pro
30.08.2019,Dep. Cuenca,1,,Barcelona SC,1,,Liga Pro
26.08.2019,Ind. del Valle,2,,Fuerza A.,0,,Liga Pro
25.08.2019,Macara,2,,Emelec,1,,Liga Pro
25.08.2019,Guayaquil City,4,,Mushuc Runa,2,,Liga Pro
25.08.2019,EL Nacional,0,,U. Catolica,1,,Liga Pro
24.08.2019,Barcelona SC,4,,America de Quito,0,,Liga Pro
24.08.2019,Tecnico U.,0,,LDU Quito,2,,Liga Pro
24.08.2019,Delfin,2,,Dep. Cuenca,0,,Liga Pro
23.08.2019,Aucas,1,,Olmedo,0,,Liga Pro
19.08.2019,U. Catolica,1,,Macara,3,,Liga Pro
18.08.2019,Emelec,1,,Ind. del Valle,3,,Liga Pro
18.08.2019,Fuerza A.,2,,Tecnico U.,2,,Liga Pro
18.08.2019,Olmedo,0,,EL Nacional,2,,Liga Pro
17.08.2019,Dep. Cuenca,1,,Aucas,2,,Liga Pro
17.08.2019,America de Quito,3,,Guayaquil City,0,,Liga Pro
17.08.2019,Mushuc Runa,2,,Delfin,0,,Liga Pro
16.08.2019,LDU Quito,2,,Barcelona SC,0,,Liga Pro
12.08.2019,Barcelona SC,2,,Fuerza A.,1,,Liga Pro
11.08.2019,EL Nacional,1,,Emelec,0,,Liga Pro
11.08.2019,Tecnico U.,1,,Dep. Cuenca,2,,Liga Pro
11.08.2019,Aucas,2,,LDU Quito,1,,Liga Pro
10.08.2019,Guayaquil City,3,,Olmedo,0,,Liga Pro
10.08.2019,Delfin,2,,U. Catolica,1,,Liga Pro
10.08.2019,Ind. del Valle,2,,Mushuc Runa,3,,Liga Pro
09.08.2019,Macara,1,,America de Quito,0,,Liga Pro
05.08.2019,Olmedo,0,,Tecnico U.,2,,Liga Pro
04.08.2019,Emelec,0,,Delfin,1,,Liga Pro
04.08.2019,U. Catolica,2,,Barcelona SC,1,,Liga Pro
04.08.2019,LDU Quito,1,,Macara,1,,Liga Pro
03.08.2019,Fuerza A.,0,,Guayaquil City,1,,Liga Pro
03.08.2019,Mushuc Runa,1,,Aucas,2,,Liga Pro
03.08.2019,America de Quito,1,,Ind. del Valle,1,,Liga Pro
02.08.2019,Dep. Cuenca,2,,EL Nacional,2,,Liga Pro
29.07.2019,America de Quito,3,,Dep. Cuenca,0,,Liga Pro
28.07.2019,Macara,1,,Olmedo,1,,Liga Pro
28.07.2019,Barcelona SC,4,,Ind. del Valle,1,,Liga Pro
28.07.2019,Fuerza A.,1,,U. Catolica,2,,Liga Pro
27.07.2019,Tecnico U.,2,,Emelec,2,,Liga Pro
27.07.2019,EL Nacional,2,,Mushuc Runa,0,,Liga Pro
27.07.2019,Aucas,4,,Delfin,2,,Liga Pro
26.07.2019,Guayaquil City,1,,LDU Quito,0,,Liga Pro
22.07.2019,Macara,2,,Tecnico U.,0,,Liga Pro
21.07.2019,Ind. del Valle,2,,Guayaquil City,2,,Liga Pro
21.07.2019,Mushuc Runa,5,,Barcelona SC,1,,Liga Pro
20.07.2019,U. Catolica,1,,Aucas,1,,Liga Pro
20.07.2019,Olmedo,1,,Fuerza A.,0,,Liga Pro
20.07.2019,Delfin,1,,EL Nacional,1,,Liga Pro
19.07.2019,Emelec,0,,Dep. Cuenca,1,,Liga Pro
18.07.2019,LDU Quito,1,,America de Quito,0,,Liga Pro
15.07.2019,America de Quito,1,,Olmedo,1,,Liga Pro
14.07.2019,Guayaquil City,1,,Delfin,3,,Liga Pro
14.07.2019,Barcelona SC,1,,Macara,2,,Liga Pro
14.07.2019,Aucas,0,,EL Nacional,0,,Liga Pro
13.07.2019,Tecnico U.,1,,Ind. del Valle,1,,Liga Pro
13.07.2019,LDU Quito,1,,U. Catolica,5,,Liga Pro
13.07.2019,Fuerza A.,1,,Emelec,4,,Liga Pro
12.07.2019,Dep. Cuenca,3,,Mushuc Runa,1,,Liga Pro
08.07.2019,Macara,2,,Guayaquil City,0,,Liga Pro
07.07.2019,Emelec,2,,Aucas,1,,Liga Pro
07.07.2019,Delfin,1,,Fuerza A.,0,,Liga Pro
06.07.2019,EL Nacional,1,,Barcelona SC,0,,Liga Pro
06.07.2019,Olmedo,0,,LDU Quito,2,,Liga Pro
06.07.2019,Mushuc Runa,2,,America de Quito,1,,Liga Pro
05.07.2019,U. Catolica,6,,Tecnico U.,2,,Liga Pro
