date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
02.09.2019,Cerro Porteno,2,,River Plate,0,,Primera Division
01.09.2019,Guarani,5,,Diaz,0,,Primera Division
01.09.2019,San Lorenzo,1,,Sol de America,2,,Primera Division
31.08.2019,Deportivo Santani,3,,Nacional Asuncion,1,,Primera Division
30.08.2019,Dep. Capiata,0,,Olimpia Asuncion,6,,Primera Division
30.08.2019,Sp. Luqueno,1,,Libertad Asuncion,5,,Primera Division
26.08.2019,Nacional Asuncion,1,,Cerro Porteno,1,,Primera Division
25.08.2019,Olimpia Asuncion,4,,Deportivo Santani,0,,Primera Division
25.08.2019,Diaz,1,,Libertad Asuncion,0,,Primera Division
24.08.2019,Guarani,3,,San Lorenzo,1,,Primera Division
24.08.2019,Sol de America,1,,Dep. Capiata,1,,Primera Division
23.08.2019,River Plate,1,,Sp. Luqueno,1,,Primera Division
18.08.2019,Libertad Asuncion,2,,River Plate,1,,Primera Division
18.08.2019,Dep. Capiata,1,,Guarani,2,,Primera Division
17.08.2019,Deportivo Santani,1,,Sol de America,1,,Primera Division
17.08.2019,Cerro Porteno,0,,Olimpia Asuncion,0,,Primera Division
16.08.2019,San Lorenzo,1,,Diaz,1,,Primera Division
16.08.2019,Sp. Luqueno,1,,Nacional Asuncion,1,,Primera Division
11.08.2019,Guarani,2,,Deportivo Santani,1,,Primera Division
11.08.2019,Olimpia Asuncion,3,,Sp. Luqueno,1,,Primera Division
10.08.2019,Sol de America,0,,Cerro Porteno,2,,Primera Division
10.08.2019,San Lorenzo,1,,Dep. Capiata,1,,Primera Division
09.08.2019,Diaz,1,,River Plate,1,,Primera Division
09.08.2019,Nacional Asuncion,1,,Libertad Asuncion,0,,Primera Division
05.08.2019,Libertad Asuncion,2,,Olimpia Asuncion,0,,Primera Division
04.08.2019,Cerro Porteno,2,,Guarani,2,,Primera Division
04.08.2019,Sp. Luqueno,0,,Sol de America,0,,Primera Division
03.08.2019,River Plate,0,,Nacional Asuncion,1,,Primera Division
03.08.2019,Deportivo Santani,1,,San Lorenzo,1,,Primera Division
02.08.2019,Dep. Capiata,0,,Diaz,2,,Primera Division
29.07.2019,Sol de America,0,,Libertad Asuncion,1,,Primera Division
28.07.2019,San Lorenzo,2,,Cerro Porteno,1,,Primera Division
28.07.2019,Guarani,1,,Sp. Luqueno,3,,Primera Division
27.07.2019,Olimpia Asuncion,2,,River Plate,1,,Primera Division
27.07.2019,Dep. Capiata,3,,Deportivo Santani,1,,Primera Division
26.07.2019,Diaz,1,,Nacional Asuncion,1,,Primera Division
22.07.2019,Sp. Luqueno,1,,San Lorenzo,3,,Primera Division
21.07.2019,River Plate,2,,Sol de America,2,,Primera Division
21.07.2019,Deportivo Santani,1,,Diaz,1,,Primera Division
20.07.2019,Libertad Asuncion,1,,Guarani,0,,Primera Division
20.07.2019,Cerro Porteno,3,,Dep. Capiata,0,,Primera Division
19.07.2019,Nacional Asuncion,1,,Olimpia Asuncion,3,,Primera Division
14.07.2019,Diaz,1,,Olimpia Asuncion,4,,Primera Division
14.07.2019,San Lorenzo,0,,Libertad Asuncion,1,,Primera Division
13.07.2019,Sol de America,2,,Nacional Asuncion,1,,Primera Division
13.07.2019,Deportivo Santani,0,,Cerro Porteno,2,,Primera Division
12.07.2019,Guarani,1,,River Plate,3,,Primera Division
12.07.2019,Dep. Capiata,1,,Sp. Luqueno,0,,Primera Division
20.05.2019,Sp. Luqueno,1,,Dep. Capiata,1,,Primera Division
19.05.2019,Sol de America,0,,Cerro Porteno,1,,Primera Division
19.05.2019,San Lorenzo,2,,Diaz,1,,Primera Division
18.05.2019,Nacional Asuncion,0,,River Plate,0,,Primera Division
18.05.2019,Olimpia Asuncion,2,,Guarani,0,,Primera Division
17.05.2019,Deportivo Santani,0,,Libertad Asuncion,3,,Primera Division
16.05.2019,Sp. Luqueno,2,,Cerro Porteno,1,,Primera Division
14.05.2019,River Plate,2,,Olimpia Asuncion,2,,Primera Division
13.05.2019,Diaz,1,,Nacional Asuncion,1,,Primera Division
13.05.2019,Dep. Capiata,1,,San Lorenzo,1,,Primera Division
12.05.2019,Libertad Asuncion,1,,Sp. Luqueno,0,,Primera Division
11.05.2019,Cerro Porteno,3,,Deportivo Santani,2,,Primera Division
11.05.2019,Guarani,3,,Sol de America,1,,Primera Division
07.05.2019,Olimpia Asuncion,4,,Diaz,1,,Primera Division
07.05.2019,Deportivo Santani,2,,Sol de America,3,,Primera Division
06.05.2019,River Plate,0,,Guarani,1,,Primera Division
06.05.2019,Nacional Asuncion,2,,Dep. Capiata,1,,Primera Division
05.05.2019,San Lorenzo,3,,Libertad Asuncion,4,,Primera Division
04.05.2019,Deportivo Santani,0,,Olimpia Asuncion,6,,Primera Division
02.05.2019,Libertad Asuncion,1,,Nacional Asuncion,2,,Primera Division
01.05.2019,Cerro Porteno,1,,San Lorenzo,1,,Primera Division
01.05.2019,Dep. Capiata,2,,Olimpia Asuncion,2,,Primera Division
30.04.2019,Diaz,0,,River Plate,1,,Primera Division
29.04.2019,Guarani,0,,Deportivo Santani,0,,Primera Division
28.04.2019,Sol de America,0,,Sp. Luqueno,1,,Primera Division
28.04.2019,Nacional Asuncion,0,,Cerro Porteno,3,,Primera Division
28.04.2019,Olimpia Asuncion,3,,Libertad Asuncion,0,,Primera Division
27.04.2019,River Plate,1,,Dep. Capiata,0,,Primera Division
26.04.2019,Diaz,1,,Guarani,1,,Primera Division
25.04.2019,Sp. Luqueno,1,,Deportivo Santani,1,,Primera Division
25.04.2019,San Lorenzo,2,,Sol de America,4,,Primera Division
22.04.2019,Guarani,2,,Sp. Luqueno,2,,Primera Division
22.04.2019,Dep. Capiata,2,,Diaz,2,,Primera Division
21.04.2019,Sol de America,3,,Nacional Asuncion,1,,Primera Division
21.04.2019,Deportivo Santani,1,,San Lorenzo,0,,Primera Division
20.04.2019,Libertad Asuncion,2,,River Plate,1,,Primera Division
20.04.2019,Cerro Porteno,1,,Olimpia Asuncion,3,,Primera Division
17.04.2019,Libertad Asuncion,1,,Guarani,1,,Primera Division
17.04.2019,Diaz,1,,Sol de America,4,,Primera Division
16.04.2019,Olimpia Asuncion,2,,Sp. Luqueno,0,,Primera Division
16.04.2019,Dep. Capiata,1,,Cerro Porteno,1,,Primera Division
14.04.2019,Nacional Asuncion,0,,Deportivo Santani,0,,Primera Division
14.04.2019,Diaz,1,,Libertad Asuncion,3,,Primera Division
13.04.2019,River Plate,1,,Cerro Porteno,5,,Primera Division
13.04.2019,Olimpia Asuncion,4,,Sol de America,0,,Primera Division
12.04.2019,San Lorenzo,0,,Sp. Luqueno,3,,Primera Division
12.04.2019,Dep. Capiata,0,,Guarani,1,,Primera Division
09.04.2019,Sp. Luqueno,1,,Nacional Asuncion,1,,Primera Division
08.04.2019,Guarani,4,,San Lorenzo,1,,Primera Division
08.04.2019,Sol de America,0,,River Plate,1,,Primera Division
07.04.2019,Libertad Asuncion,5,,Dep. Capiata,1,,Primera Division
06.04.2019,Cerro Porteno,2,,Diaz,0,,Primera Division
04.04.2019,Nacional Asuncion,3,,San Lorenzo,1,,Primera Division
03.04.2019,River Plate,1,,Deportivo Santani,2,,Primera Division
31.03.2019,Sp. Luqueno,3,,River Plate,1,,Primera Division
31.03.2019,Guarani,2,,Nacional Asuncion,2,,Primera Division
30.03.2019,San Lorenzo,1,,Olimpia Asuncion,4,,Primera Division
30.03.2019,Cerro Porteno,1,,Libertad Asuncion,2,,Primera Division
29.03.2019,Deportivo Santani,0,,Diaz,1,,Primera Division
